time,periods,phase,amplitude,power,frequencies
0.00,22.87,3.31,0.29,71.10,0.04
0.17,22.87,3.35,0.30,71.75,0.04
0.33,22.87,3.40,0.30,72.38,0.04
0.50,22.87,3.44,0.30,73.02,0.04
0.67,22.87,3.49,0.30,73.66,0.04
0.83,22.97,3.55,0.30,74.30,0.04
1.00,22.97,3.59,0.30,74.94,0.04
1.17,22.97,3.64,0.30,75.58,0.04
1.33,22.97,3.68,0.30,76.22,0.04
1.50,22.97,3.73,0.31,76.86,0.04
1.67,22.97,3.77,0.31,77.50,0.04
1.83,22.97,3.82,0.31,78.14,0.04
2.00,22.97,3.86,0.31,78.78,0.04
2.17,22.97,3.91,0.31,79.42,0.04
2.33,22.97,3.95,0.31,80.05,0.04
2.50,22.97,4.00,0.31,80.69,0.04
2.67,22.97,4.04,0.31,81.32,0.04
2.83,22.97,4.09,0.32,81.96,0.04
3.00,22.97,4.13,0.32,82.59,0.04
3.17,22.97,4.18,0.32,83.22,0.04
3.33,22.97,4.23,0.32,83.85,0.04
3.50,22.97,4.27,0.32,84.48,0.04
3.67,22.97,4.32,0.32,85.11,0.04
3.83,22.97,4.36,0.32,85.73,0.04
4.00,22.97,4.41,0.32,86.35,0.04
4.17,22.97,4.45,0.33,86.96,0.04
4.33,22.97,4.50,0.33,87.58,0.04
4.50,23.07,4.55,0.33,88.19,0.04
4.67,23.07,4.60,0.33,88.81,0.04
4.83,23.07,4.64,0.33,89.42,0.04
5.00,23.07,4.69,0.33,90.04,0.04
5.17,23.07,4.73,0.33,90.65,0.04
5.33,23.07,4.78,0.33,91.27,0.04
5.50,23.07,4.82,0.33,91.89,0.04
5.67,23.07,4.87,0.33,92.50,0.04
5.83,23.07,4.91,0.34,93.10,0.04
6.00,23.07,4.96,0.34,93.71,0.04
6.17,23.07,5.00,0.34,94.32,0.04
6.33,23.07,5.05,0.34,94.93,0.04
6.50,23.07,5.09,0.34,95.51,0.04
6.67,23.07,5.14,0.34,96.11,0.04
6.83,23.07,5.18,0.34,96.67,0.04
7.00,23.07,5.23,0.34,97.27,0.04
7.17,23.07,5.27,0.34,97.87,0.04
7.33,23.07,5.32,0.35,98.45,0.04
7.50,23.16,5.37,0.35,99.05,0.04
7.67,23.16,5.42,0.35,99.63,0.04
7.83,23.16,5.46,0.35,100.22,0.04
8.00,23.16,5.51,0.35,100.80,0.04
8.17,23.16,5.55,0.35,101.37,0.04
8.33,23.16,5.59,0.35,101.95,0.04
8.50,23.16,5.64,0.35,102.51,0.04
8.67,23.16,5.68,0.35,103.04,0.04
8.83,23.16,5.73,0.35,103.60,0.04
9.00,23.16,5.77,0.35,104.17,0.04
9.17,23.16,5.82,0.36,104.75,0.04
9.33,23.16,5.86,0.36,105.30,0.04
9.50,23.16,5.91,0.36,105.85,0.04
9.67,23.26,5.96,0.36,106.42,0.04
9.83,23.26,6.00,0.36,107.00,0.04
10.00,23.26,6.05,0.36,107.55,0.04
10.17,23.26,6.09,0.36,108.10,0.04
10.33,23.26,6.14,0.36,108.66,0.04
