time,periods,phase,amplitude,power,frequencies
0.00,26.69,5.93,0.33,94.33,0.04
0.17,26.69,5.97,0.33,94.86,0.04
0.33,26.60,6.00,0.33,95.38,0.04
0.50,26.60,6.04,0.33,95.91,0.04
0.67,26.60,6.08,0.33,96.44,0.04
0.83,26.60,6.12,0.34,96.96,0.04
1.00,26.60,6.16,0.34,97.48,0.04
1.17,26.60,6.19,0.34,97.99,0.04
1.33,26.60,6.23,0.34,98.50,0.04
1.50,26.60,6.27,0.34,99.01,0.04
1.67,26.60,0.03,0.34,99.52,0.04
1.83,26.50,0.06,0.34,100.02,0.04
2.00,26.50,0.10,0.34,100.52,0.04
2.17,26.50,0.14,0.34,101.02,0.04
2.33,26.50,0.17,0.34,101.51,0.04
2.50,26.50,0.21,0.34,102.01,0.04
2.67,26.50,0.25,0.35,102.49,0.04
2.83,26.50,0.29,0.35,102.98,0.04
3.00,26.50,0.33,0.35,103.46,0.04
3.17,26.50,0.37,0.35,103.93,0.04
3.33,26.50,0.41,0.35,104.40,0.04
3.50,26.50,0.45,0.35,104.87,0.04
3.67,26.41,0.48,0.35,105.34,0.04
3.83,26.41,0.52,0.35,105.80,0.04
4.00,26.41,0.56,0.35,106.25,0.04
4.17,26.41,0.59,0.35,106.71,0.04
4.33,26.41,0.63,0.35,107.16,0.04
4.50,26.41,0.67,0.35,107.60,0.04
4.67,26.41,0.71,0.36,108.04,0.04
4.83,26.41,0.75,0.36,108.48,0.04
5.00,26.41,0.79,0.36,108.91,0.04
5.17,26.41,0.83,0.36,109.33,0.04
5.33,26.41,0.87,0.36,109.76,0.04
5.50,26.41,0.91,0.36,110.17,0.04
5.67,26.41,0.95,0.36,110.58,0.04
5.83,26.31,0.98,0.36,110.99,0.04
6.00,26.31,1.02,0.36,111.40,0.04
6.17,26.31,1.06,0.36,111.80,0.04
6.33,26.31,1.10,0.36,112.19,0.04
6.50,26.31,1.13,0.36,112.58,0.04
6.67,26.31,1.17,0.36,112.97,0.04
6.83,26.31,1.21,0.36,113.35,0.04
7.00,26.31,1.25,0.37,113.72,0.04
7.17,26.31,1.29,0.37,114.09,0.04
7.33,26.31,1.33,0.37,114.45,0.04
7.50,26.31,1.37,0.37,114.81,0.04
7.67,26.31,1.41,0.37,115.17,0.04
7.83,26.31,1.45,0.37,115.51,0.04
8.00,26.31,1.49,0.37,115.86,0.04
8.17,26.31,1.53,0.37,116.19,0.04
8.33,26.31,1.57,0.37,116.52,0.04
8.50,26.31,1.60,0.37,116.85,0.04
8.67,26.22,1.64,0.37,117.17,0.04
8.83,26.22,1.68,0.37,117.49,0.04
9.00,26.22,1.72,0.37,117.80,0.04
9.17,26.22,1.76,0.37,118.10,0.04
9.33,26.22,1.80,0.37,118.40,0.04
9.50,26.22,1.83,0.37,118.69,0.04
9.67,26.22,1.87,0.37,118.98,0.04
9.83,26.22,1.91,0.37,119.26,0.04
10.00,26.22,1.95,0.38,119.54,0.04
10.17,26.22,1.99,0.38,119.81,0.04
10.33,26.22,2.03,0.38,120.07,0.04
10.50,26.22,2.07,0.38,120.33,0.04
10.67,26.22,2.11,0.38,120.58,0.04
10.83,26.22,2.15,0.38,120.83,0.04
11.00,26.22,2.19,0.38,121.07,0.04
11.17,26.22,2.23,0.38,121.31,0.04
11.33,26.22,2.27,0.38,121.53,0.04
11.50,26.22,2.31,0.38,121.76,0.04
11.67,26.22,2.35,0.38,121.97,0.04
11.83,26.22,2.38,0.38,122.18,0.04
12.00,26.22,2.42,0.38,122.39,0.04
12.17,26.22,2.46,0.38,122.58,0.04
12.33,26.22,2.50,0.38,122.78,0.04
12.50,26.22,2.54,0.38,122.96,0.04
