time,periods,phase,amplitude,power,frequencies
0.00,21.47,3.06,0.35,80.52,0.05
0.17,21.47,3.11,0.36,81.29,0.05
0.33,21.47,3.16,0.36,82.05,0.05
0.50,21.47,3.20,0.36,82.82,0.05
0.67,21.47,3.25,0.36,83.59,0.05
0.83,21.47,3.30,0.36,84.36,0.05
1.00,21.47,3.35,0.36,85.12,0.05
1.17,21.47,3.40,0.37,85.89,0.05
1.33,21.47,3.45,0.37,86.66,0.05
1.50,21.47,3.49,0.37,87.42,0.05
1.67,21.47,3.54,0.37,88.18,0.05
1.83,21.47,3.59,0.37,88.94,0.05
2.00,21.47,3.64,0.37,89.71,0.05
2.17,21.47,3.69,0.38,90.48,0.05
2.33,21.47,3.74,0.38,91.24,0.05
2.50,21.47,3.78,0.38,92.01,0.05
2.67,21.55,3.84,0.38,92.77,0.05
2.83,21.55,3.89,0.38,93.53,0.05
3.00,21.55,3.94,0.38,94.30,0.05
3.17,21.55,3.99,0.38,95.06,0.05
3.33,21.55,4.04,0.39,95.82,0.05
3.50,21.55,4.09,0.39,96.57,0.05
3.67,21.55,4.13,0.39,97.32,0.05
3.83,21.55,4.18,0.39,98.07,0.05
4.00,21.55,4.23,0.39,98.81,0.05
4.17,21.55,4.28,0.39,99.55,0.05
4.33,21.55,4.33,0.39,100.31,0.05
4.50,21.55,4.37,0.40,101.06,0.05
4.67,21.55,4.42,0.40,101.82,0.05
4.83,21.55,4.47,0.40,102.59,0.05
5.00,21.55,4.52,0.40,103.34,0.05
5.17,21.55,4.57,0.40,104.09,0.05
5.33,21.55,4.61,0.40,104.83,0.05
5.50,21.55,4.66,0.40,105.56,0.05
5.67,21.55,4.71,0.41,106.30,0.05
5.83,21.63,4.77,0.41,107.02,0.05
6.00,21.63,4.82,0.41,107.73,0.05
6.17,21.63,4.86,0.41,108.44,0.05
6.33,21.63,4.91,0.41,109.17,0.05
6.50,21.63,4.96,0.41,109.88,0.05
6.67,21.63,5.01,0.41,110.59,0.05
6.83,21.63,5.05,0.42,111.31,0.05
7.00,21.63,5.10,0.42,112.00,0.05
7.17,21.63,5.15,0.42,112.70,0.05
7.33,21.63,5.20,0.42,113.39,0.05
7.50,21.63,5.25,0.42,114.08,0.05
7.67,21.71,5.30,0.42,114.77,0.05
7.83,21.71,5.35,0.42,115.46,0.05
8.00,21.71,5.40,0.42,116.13,0.05
8.17,21.71,5.45,0.42,116.81,0.05
8.33,21.71,5.49,0.43,117.48,0.05
8.50,21.71,5.54,0.43,118.16,0.05
8.67,21.71,5.59,0.43,118.81,0.05
8.83,21.71,5.64,0.43,119.46,0.05
9.00,21.71,5.68,0.43,120.12,0.05
9.17,21.79,5.74,0.43,120.76,0.05
9.33,21.79,5.79,0.43,121.41,0.05
9.50,21.79,5.83,0.43,122.03,0.05
9.67,21.79,5.88,0.43,122.67,0.05
9.83,21.79,5.93,0.44,123.29,0.05
10.00,21.79,5.98,0.44,123.91,0.05
10.17,21.79,6.02,0.44,124.51,0.05
10.33,21.79,6.07,0.44,125.12,0.05
10.50,21.87,6.12,0.44,125.72,0.05
10.67,21.87,6.17,0.44,126.31,0.05
10.83,21.87,6.22,0.44,126.90,0.05
11.00,21.87,6.27,0.44,127.48,0.05
11.17,21.87,0.03,0.44,128.06,0.05
11.33,21.87,0.08,0.44,128.62,0.05
11.50,21.87,0.12,0.44,129.19,0.05
11.67,21.87,0.17,0.45,129.74,0.05
11.83,21.95,0.22,0.45,130.29,0.05
12.00,21.95,0.27,0.45,130.84,0.05
12.17,21.95,0.32,0.45,131.37,0.05
12.33,21.95,0.37,0.45,131.90,0.05
12.50,21.95,0.41,0.45,132.42,0.05
12.67,21.95,0.46,0.45,132.93,0.05
12.83,22.03,0.51,0.45,133.43,0.05
13.00,22.03,0.56,0.45,133.93,0.05
13.17,22.03,0.60,0.45,134.42,0.05
13.33,22.03,0.65,0.45,134.89,0.05
13.50,22.03,0.70,0.45,135.37,0.05
13.67,22.03,0.74,0.45,135.82,0.05
13.83,22.11,0.80,0.45,136.28,0.05
14.00,22.11,0.84,0.45,136.73,0.05
14.17,22.11,0.89,0.46,137.17,0.05
14.33,22.11,0.94,0.46,137.61,0.05
14.50,22.11,0.98,0.46,138.03,0.05
14.67,22.19,1.03,0.46,138.43,0.05
14.83,22.19,1.08,0.46,138.84,0.05
15.00,22.19,1.13,0.46,139.22,0.05
15.17,22.19,1.17,0.46,139.61,0.05
15.33,22.19,1.22,0.46,139.99,0.05
15.50,22.19,1.26,0.46,140.35,0.05
15.67,22.27,1.31,0.46,140.70,0.04
15.83,22.27,1.36,0.46,141.09,0.04
16.00,22.27,1.41,0.46,141.39,0.04
16.17,22.27,1.45,0.46,141.74,0.04
16.33,22.27,1.50,0.46,142.09,0.04
16.50,22.27,1.55,0.46,142.41,0.04
16.67,22.35,1.59,0.46,142.72,0.04
16.83,22.35,1.64,0.46,143.10,0.04
17.00,22.35,1.69,0.46,143.40,0.04
17.17,22.35,1.73,0.46,143.68,0.04
17.33,22.35,1.78,0.46,143.98,0.04
17.50,22.43,1.83,0.46,144.21,0.04
17.67,22.43,1.87,0.46,144.50,0.04
17.83,22.43,1.92,0.46,144.74,0.04
18.00,22.43,1.97,0.47,144.98,0.04
18.17,22.43,2.01,0.47,145.26,0.04
18.33,22.43,2.06,0.47,145.49,0.04
18.50,22.51,2.11,0.47,145.73,0.04
18.67,22.51,2.15,0.47,145.97,0.04
18.83,22.51,2.20,0.47,146.17,0.04
19.00,22.51,2.24,0.47,146.38,0.04
19.17,22.51,2.29,0.47,146.52,0.04
19.33,22.59,2.34,0.47,146.71,0.04
19.50,22.59,2.38,0.47,146.96,0.04
19.67,22.59,2.43,0.47,147.12,0.04
19.83,22.59,2.47,0.47,147.28,0.04
20.00,22.59,2.52,0.47,147.45,0.04
20.17,22.59,2.56,0.47,147.59,0.04
20.33,22.67,2.61,0.47,147.74,0.04
20.50,22.67,2.66,0.47,147.93,0.04
20.67,22.67,2.70,0.47,148.05,0.04
20.83,22.67,2.75,0.47,148.18,0.04
21.00,22.67,2.79,0.47,148.26,0.04
21.17,22.75,2.84,0.47,148.41,0.04
21.33,22.75,2.88,0.47,148.50,0.04
21.50,22.75,2.93,0.47,148.60,0.04
21.67,22.75,2.97,0.47,148.66,0.04
21.83,22.75,3.02,0.47,148.72,0.04
22.00,22.83,3.06,0.47,148.75,0.04
22.17,22.83,3.11,0.47,148.83,0.04
22.33,22.83,3.15,0.47,148.91,0.04
22.50,22.83,3.20,0.47,149.05,0.04
22.67,22.91,3.24,0.47,149.11,0.04
22.83,22.91,3.29,0.47,149.13,0.04
23.00,22.91,3.33,0.47,149.18,0.04
23.17,22.91,3.38,0.47,149.16,0.04
23.33,22.91,3.42,0.47,149.21,0.04
23.50,22.99,3.47,0.47,149.29,0.04
23.67,22.99,3.51,0.47,149.34,0.04
23.83,22.99,3.56,0.47,149.36,0.04
24.00,22.99,3.60,0.47,149.35,0.04
24.17,23.08,3.65,0.47,149.36,0.04
24.33,23.08,3.69,0.47,149.34,0.04
24.50,23.08,3.74,0.47,149.33,0.04
24.67,23.16,3.78,0.46,149.33,0.04
24.83,23.16,3.82,0.46,149.29,0.04
25.00,23.16,3.87,0.46,149.26,0.04
25.17,23.16,3.91,0.46,149.23,0.04
25.33,23.24,3.96,0.46,149.18,0.04
25.50,23.24,4.00,0.46,149.10,0.04
25.67,23.24,4.04,0.46,149.04,0.04
25.83,23.24,4.09,0.46,148.97,0.04
26.00,23.24,4.13,0.46,148.88,0.04
26.17,23.32,4.18,0.46,148.79,0.04
26.33,23.32,4.22,0.46,148.69,0.04
26.50,23.32,4.26,0.46,148.59,0.04
26.67,23.32,4.31,0.46,148.47,0.04
26.83,23.40,4.35,0.46,148.36,0.04
27.00,23.40,4.40,0.46,148.24,0.04
27.17,23.40,4.44,0.46,148.11,0.04
27.33,23.40,4.48,0.46,147.98,0.04
27.50,23.40,4.53,0.46,147.84,0.04
27.67,23.48,4.57,0.46,147.69,0.04
27.83,23.48,4.61,0.46,147.54,0.04
28.00,23.48,4.66,0.46,147.38,0.04
28.17,23.56,4.70,0.46,147.21,0.04
28.33,23.56,4.74,0.46,147.04,0.04
28.50,23.56,4.78,0.46,146.87,0.04
28.67,23.56,4.83,0.46,146.69,0.04
28.83,23.64,4.87,0.46,146.50,0.04
29.00,23.64,4.91,0.46,146.32,0.04
29.17,23.64,4.96,0.45,146.14,0.04
29.33,23.64,5.00,0.45,145.94,0.04
29.50,23.72,5.04,0.45,145.74,0.04
29.67,23.72,5.08,0.45,145.54,0.04
29.83,23.72,5.13,0.45,145.34,0.04
30.00,23.72,5.17,0.45,145.10,0.04
30.17,23.80,5.21,0.45,144.86,0.04
30.33,23.80,5.26,0.45,144.61,0.04
30.50,23.80,5.30,0.45,144.35,0.04
30.67,23.80,5.34,0.45,144.11,0.04
30.83,23.88,5.38,0.45,143.88,0.04
31.00,23.88,5.42,0.45,143.63,0.04
31.17,23.88,5.47,0.45,143.39,0.04
31.33,23.88,5.51,0.45,143.10,0.04
31.50,23.96,5.55,0.45,142.79,0.04
31.67,23.96,5.59,0.45,142.49,0.04
31.83,23.96,5.64,0.45,142.22,0.04
32.00,24.04,5.68,0.44,141.94,0.04
32.17,24.04,5.72,0.44,141.67,0.04
32.33,24.04,5.76,0.44,141.36,0.04
32.50,24.04,5.80,0.44,141.01,0.04
32.67,24.12,5.84,0.44,140.63,0.04
32.83,24.12,5.89,0.44,140.35,0.04
33.00,24.12,5.93,0.44,140.05,0.04
33.17,24.12,5.97,0.44,139.76,0.04
33.33,24.20,6.01,0.44,139.41,0.04
33.50,24.20,6.05,0.44,139.02,0.04
33.67,24.20,6.09,0.44,138.69,0.04
33.83,24.20,6.14,0.44,138.30,0.04
34.00,24.28,6.17,0.44,137.96,0.04
34.17,24.28,6.22,0.44,137.59,0.04
34.33,24.28,6.26,0.44,137.30,0.04
34.50,24.36,0.01,0.43,136.96,0.04
34.67,24.36,0.06,0.43,136.64,0.04
34.83,24.36,0.10,0.43,136.34,0.04
35.00,24.36,0.14,0.43,136.06,0.04
35.17,24.44,0.18,0.43,135.58,0.04
35.33,24.44,0.22,0.43,135.23,0.04
35.50,24.44,0.26,0.43,134.85,0.04
35.67,24.44,0.31,0.43,134.48,0.04
35.83,24.52,0.34,0.43,134.09,0.04
36.00,24.52,0.38,0.43,133.67,0.04
36.17,24.52,0.43,0.43,133.26,0.04
36.33,24.52,0.47,0.43,132.80,0.04
36.50,24.60,0.51,0.42,132.30,0.04
36.67,24.60,0.55,0.42,131.76,0.04
36.83,24.60,0.59,0.42,131.29,0.04
37.00,24.60,0.63,0.42,130.75,0.04
37.17,24.60,0.67,0.42,130.26,0.04
37.33,24.68,0.71,0.42,129.80,0.04
37.50,24.68,0.75,0.42,129.38,0.04
37.67,24.68,0.79,0.42,128.95,0.04
37.83,24.68,0.84,0.42,128.57,0.04
38.00,24.76,0.87,0.42,128.23,0.04
