time,periods,phase,amplitude,power,frequencies
0.00,20.74,5.05,0.37,91.13,0.05
0.17,20.74,5.10,0.37,91.92,0.05
0.33,20.74,5.15,0.38,92.71,0.05
0.50,20.74,5.20,0.38,93.49,0.05
0.67,20.74,5.24,0.38,94.27,0.05
0.83,20.74,5.29,0.38,95.05,0.05
1.00,20.74,5.34,0.38,95.82,0.05
1.17,20.66,5.38,0.39,96.59,0.05
1.33,20.66,5.43,0.39,97.35,0.05
1.50,20.66,5.48,0.39,98.11,0.05
1.67,20.66,5.53,0.39,98.87,0.05
1.83,20.66,5.58,0.39,99.62,0.05
2.00,20.66,5.63,0.39,100.36,0.05
2.17,20.66,5.68,0.39,101.10,0.05
2.33,20.58,5.72,0.40,101.83,0.05
2.50,20.58,5.77,0.40,102.56,0.05
2.67,20.58,5.82,0.40,103.29,0.05
2.83,20.58,5.87,0.40,104.01,0.05
3.00,20.58,5.92,0.40,104.72,0.05
3.17,20.58,5.97,0.40,105.43,0.05
3.33,20.58,6.02,0.40,106.14,0.05
3.50,20.58,6.07,0.41,106.83,0.05
3.67,20.50,6.11,0.41,107.52,0.05
3.83,20.50,6.16,0.41,108.21,0.05
4.00,20.50,6.21,0.41,108.89,0.05
4.17,20.50,6.26,0.41,109.57,0.05
4.33,20.50,0.03,0.41,110.24,0.05
4.50,20.50,0.08,0.41,110.91,0.05
4.67,20.50,0.13,0.42,111.57,0.05
4.83,20.50,0.18,0.42,112.22,0.05
5.00,20.50,0.23,0.42,112.87,0.05
5.17,20.42,0.27,0.42,113.51,0.05
5.33,20.42,0.32,0.42,114.15,0.05
5.50,20.42,0.37,0.42,114.77,0.05
5.67,20.42,0.42,0.42,115.39,0.05
5.83,20.42,0.47,0.42,116.01,0.05
6.00,20.42,0.52,0.43,116.61,0.05
6.17,20.42,0.57,0.43,117.22,0.05
6.33,20.42,0.62,0.43,117.81,0.05
6.50,20.42,0.67,0.43,118.39,0.05
6.67,20.42,0.72,0.43,118.97,0.05
6.83,20.42,0.78,0.43,119.53,0.05
7.00,20.42,0.83,0.43,120.10,0.05
7.17,20.34,0.87,0.43,120.65,0.05
7.33,20.34,0.92,0.43,121.20,0.05
7.50,20.34,0.97,0.44,121.74,0.05
7.67,20.34,1.02,0.44,122.27,0.05
7.83,20.34,1.07,0.44,122.79,0.05
8.00,20.34,1.12,0.44,123.30,0.05
8.17,20.34,1.17,0.44,123.80,0.05
8.33,20.34,1.22,0.44,124.29,0.05
8.50,20.34,1.27,0.44,124.78,0.05
8.67,20.34,1.32,0.44,125.26,0.05
8.83,20.34,1.38,0.44,125.72,0.05
9.00,20.34,1.43,0.44,126.17,0.05
9.17,20.34,1.48,0.44,126.61,0.05
9.33,20.34,1.53,0.45,127.04,0.05
9.50,20.34,1.58,0.45,127.47,0.05
9.67,20.34,1.63,0.45,127.88,0.05
9.83,20.34,1.68,0.45,128.28,0.05
10.00,20.34,1.73,0.45,128.68,0.05
10.17,20.34,1.78,0.45,129.06,0.05
10.33,20.34,1.83,0.45,129.43,0.05
10.50,20.34,1.88,0.45,129.79,0.05
10.67,20.34,1.93,0.45,130.14,0.05
10.83,20.34,1.98,0.45,130.48,0.05
11.00,20.34,2.03,0.45,130.80,0.05
11.17,20.34,2.08,0.45,131.12,0.05
11.33,20.34,2.14,0.45,131.43,0.05
11.50,20.34,2.19,0.45,131.72,0.05
11.67,20.34,2.24,0.45,132.01,0.05
11.83,20.34,2.29,0.45,132.28,0.05
12.00,20.34,2.34,0.45,132.54,0.05
12.17,20.34,2.39,0.46,132.79,0.05
12.33,20.34,2.44,0.46,133.03,0.05
12.50,20.34,2.49,0.46,133.26,0.05
12.67,20.34,2.54,0.46,133.48,0.05
12.83,20.34,2.59,0.46,133.68,0.05
13.00,20.34,2.64,0.46,133.88,0.05
13.17,20.34,2.69,0.46,134.07,0.05
13.33,20.34,2.74,0.46,134.24,0.05
13.50,20.34,2.79,0.46,134.40,0.05
13.67,20.34,2.84,0.46,134.55,0.05
