time,periods,phase,amplitude,power,frequencies
3.17,25.99,3.58,0.46,121.20,0.04
3.33,25.99,3.62,0.46,122.09,0.04
3.50,25.99,3.66,0.46,122.99,0.04
3.67,25.99,3.70,0.46,123.92,0.04
3.83,25.91,3.73,0.47,124.83,0.04
4.00,25.91,3.77,0.47,125.76,0.04
4.17,25.91,3.81,0.47,126.68,0.04
4.33,25.91,3.85,0.47,127.62,0.04
4.50,25.91,3.89,0.47,128.57,0.04
4.67,25.91,3.93,0.47,129.51,0.04
4.83,25.91,3.97,0.48,130.47,0.04
5.00,25.91,4.01,0.48,131.42,0.04
5.17,25.91,4.05,0.48,132.38,0.04
5.33,25.91,4.09,0.48,133.36,0.04
5.50,25.91,4.13,0.48,134.34,0.04
5.67,25.82,4.16,0.49,135.32,0.04
5.83,25.82,4.20,0.49,136.31,0.04
6.00,25.82,4.24,0.49,137.29,0.04
6.17,25.82,4.28,0.49,138.27,0.04
6.33,25.82,4.32,0.49,139.24,0.04
6.50,25.82,4.36,0.49,140.21,0.04
6.67,25.82,4.40,0.50,141.20,0.04
6.83,25.82,4.44,0.50,142.19,0.04
7.00,25.82,4.48,0.50,143.17,0.04
7.17,25.82,4.52,0.50,144.16,0.04
7.33,25.82,4.56,0.50,145.15,0.04
7.50,25.82,4.60,0.51,146.16,0.04
7.67,25.82,4.64,0.51,147.13,0.04
7.83,25.91,4.69,0.51,148.12,0.04
8.00,25.91,4.73,0.51,149.09,0.04
8.17,25.91,4.77,0.51,150.08,0.04
8.33,25.91,4.81,0.51,151.04,0.04
8.50,25.91,4.85,0.51,152.00,0.04
8.67,25.91,4.89,0.52,152.96,0.04
8.83,25.91,4.93,0.52,153.91,0.04
9.00,25.91,4.97,0.52,154.87,0.04
9.17,25.91,5.01,0.52,155.81,0.04
9.33,25.91,5.05,0.52,156.75,0.04
9.50,25.91,5.09,0.52,157.69,0.04
9.67,25.91,5.13,0.53,158.61,0.04
9.83,25.91,5.17,0.53,159.52,0.04
10.00,25.91,5.21,0.53,160.42,0.04
10.17,25.91,5.25,0.53,161.32,0.04
10.33,25.91,5.29,0.53,162.21,0.04
10.50,25.91,5.33,0.53,163.09,0.04
10.67,25.99,5.37,0.53,163.98,0.04
10.83,25.99,5.41,0.53,164.84,0.04
11.00,25.99,5.45,0.54,165.70,0.04
11.17,25.99,5.49,0.54,166.55,0.04
11.33,25.99,5.53,0.54,167.38,0.04
11.50,25.99,5.57,0.54,168.22,0.04
11.67,25.99,5.61,0.54,169.03,0.04
11.83,25.99,5.65,0.54,169.84,0.04
12.00,25.99,5.69,0.54,170.64,0.04
12.17,25.99,5.73,0.55,171.43,0.04
12.33,25.99,5.77,0.55,172.21,0.04
12.50,25.99,5.81,0.55,172.97,0.04
12.67,25.99,5.85,0.55,173.74,0.04
12.83,25.99,5.89,0.55,174.50,0.04
13.00,25.99,5.93,0.55,175.25,0.04
13.17,25.99,5.97,0.55,176.00,0.04
13.33,25.99,6.01,0.55,176.74,0.04
13.50,25.99,6.05,0.55,177.47,0.04
13.67,25.99,6.09,0.56,178.20,0.04
13.83,25.99,6.13,0.56,178.93,0.04
14.00,25.99,6.17,0.56,179.65,0.04
14.17,25.99,6.21,0.56,180.37,0.04
14.33,25.99,6.25,0.56,181.07,0.04
14.50,25.99,0.01,0.56,181.78,0.04
14.67,25.99,0.04,0.56,182.49,0.04
14.83,25.99,0.08,0.56,183.20,0.04
15.00,25.99,0.12,0.56,183.90,0.04
