time,periods,phase,amplitude,power,frequencies
6.50,26.17,0.68,0.45,128.11,0.04
6.67,26.17,0.72,0.45,129.05,0.04
6.83,26.17,0.76,0.46,130.03,0.04
7.00,26.17,0.80,0.46,130.98,0.04
7.17,26.17,0.84,0.46,131.97,0.04
7.33,26.17,0.88,0.46,132.96,0.04
7.50,26.17,0.92,0.46,133.95,0.04
7.67,26.08,0.95,0.47,134.94,0.04
7.83,26.08,0.99,0.47,135.88,0.04
8.00,26.08,1.03,0.47,136.92,0.04
8.17,26.08,1.06,0.47,137.93,0.04
8.33,26.08,1.10,0.47,138.95,0.04
8.50,26.08,1.14,0.47,139.98,0.04
8.67,26.08,1.18,0.48,140.98,0.04
8.83,26.08,1.22,0.48,141.99,0.04
9.00,26.08,1.26,0.48,143.00,0.04
9.17,26.08,1.30,0.48,144.04,0.04
9.33,26.08,1.34,0.48,145.08,0.04
9.50,26.08,1.38,0.48,146.10,0.04
9.67,26.08,1.42,0.49,147.16,0.04
9.83,26.08,1.46,0.49,148.22,0.04
10.00,26.08,1.50,0.49,149.27,0.04
10.17,26.08,1.54,0.49,150.32,0.04
10.33,26.08,1.58,0.49,151.42,0.04
10.50,26.08,1.62,0.49,152.43,0.04
10.67,26.08,1.66,0.50,153.45,0.04
10.83,26.08,1.70,0.50,154.47,0.04
11.00,26.08,1.74,0.50,155.53,0.04
11.17,26.17,1.79,0.50,156.61,0.04
11.33,26.17,1.83,0.50,157.61,0.04
11.50,26.17,1.87,0.50,158.69,0.04
11.67,26.17,1.91,0.51,159.77,0.04
11.83,26.17,1.95,0.51,160.76,0.04
12.00,26.17,1.99,0.51,161.78,0.04
12.17,26.17,2.03,0.51,162.79,0.04
12.33,26.17,2.06,0.51,163.79,0.04
12.50,26.17,2.10,0.51,164.80,0.04
12.67,26.17,2.14,0.52,165.78,0.04
12.83,26.17,2.18,0.52,166.77,0.04
13.00,26.17,2.22,0.52,167.75,0.04
13.17,26.25,2.27,0.52,168.73,0.04
13.33,26.25,2.31,0.52,169.71,0.04
13.50,26.25,2.35,0.52,170.65,0.04
13.67,26.25,2.39,0.52,171.61,0.04
13.83,26.25,2.43,0.52,172.56,0.04
14.00,26.25,2.47,0.53,173.51,0.04
14.17,26.25,2.50,0.53,174.48,0.04
14.33,26.25,2.54,0.53,175.42,0.04
14.50,26.25,2.58,0.53,176.31,0.04
14.67,26.25,2.62,0.53,177.23,0.04
14.83,26.25,2.66,0.53,178.13,0.04
15.00,26.25,2.70,0.53,178.99,0.04
