time,periods,phase,amplitude,power,frequencies
12.50,24.52,6.02,0.59,127.39,0.04
12.67,24.52,6.06,0.59,128.26,0.04
12.83,24.52,6.11,0.60,129.14,0.04
13.00,24.44,6.14,0.60,130.01,0.04
13.17,24.44,6.18,0.60,130.90,0.04
13.33,24.44,6.22,0.60,131.79,0.04
13.50,24.44,6.27,0.60,132.68,0.04
13.67,24.44,0.03,0.61,133.58,0.04
13.83,24.44,0.07,0.61,134.48,0.04
14.00,24.44,0.11,0.61,135.40,0.04
14.17,24.44,0.15,0.61,136.30,0.04
14.33,24.44,0.20,0.61,137.20,0.04
14.50,24.44,0.24,0.62,138.11,0.04
14.67,24.44,0.28,0.62,139.02,0.04
14.83,24.44,0.32,0.62,139.94,0.04
15.00,24.44,0.37,0.62,140.86,0.04
15.17,24.44,0.41,0.62,141.78,0.04
15.33,24.44,0.45,0.63,142.70,0.04
15.50,24.44,0.49,0.63,143.61,0.04
15.67,24.44,0.54,0.63,144.53,0.04
15.83,24.44,0.58,0.63,145.46,0.04
16.00,24.44,0.62,0.63,146.37,0.04
16.17,24.52,0.67,0.64,147.29,0.04
16.33,24.52,0.71,0.64,148.21,0.04
16.50,24.52,0.76,0.64,149.12,0.04
16.67,24.52,0.80,0.64,150.04,0.04
16.83,24.52,0.84,0.64,150.96,0.04
17.00,24.52,0.88,0.65,151.86,0.04
17.17,24.52,0.93,0.65,152.76,0.04
17.33,24.52,0.97,0.65,153.67,0.04
17.50,24.52,1.01,0.65,154.56,0.04
17.67,24.52,1.05,0.65,155.45,0.04
17.83,24.52,1.09,0.65,156.34,0.04
18.00,24.52,1.14,0.66,157.21,0.04
18.17,24.52,1.18,0.66,158.09,0.04
18.33,24.52,1.22,0.66,158.96,0.04
18.50,24.52,1.26,0.66,159.81,0.04
18.67,24.52,1.31,0.66,160.67,0.04
18.83,24.52,1.35,0.67,161.52,0.04
19.00,24.52,1.39,0.67,162.36,0.04
19.17,24.52,1.43,0.67,163.20,0.04
19.33,24.52,1.47,0.67,164.03,0.04
19.50,24.52,1.52,0.67,164.86,0.04
19.67,24.52,1.56,0.67,165.68,0.04
19.83,24.52,1.60,0.68,166.49,0.04
20.00,24.52,1.64,0.68,167.30,0.04
20.17,24.52,1.69,0.68,168.10,0.04
20.33,24.52,1.73,0.68,168.89,0.04
20.50,24.52,1.77,0.68,169.68,0.04
20.67,24.52,1.81,0.68,170.47,0.04
20.83,24.60,1.86,0.68,171.24,0.04
21.00,24.60,1.90,0.69,172.02,0.04
21.17,24.60,1.95,0.69,172.79,0.04
21.33,24.60,1.99,0.69,173.56,0.04
21.50,24.60,2.03,0.69,174.32,0.04
21.67,24.60,2.07,0.69,175.08,0.04
21.83,24.60,2.12,0.69,175.84,0.04
22.00,24.60,2.16,0.69,176.59,0.04
22.17,24.52,2.19,0.70,177.35,0.04
22.33,24.52,2.24,0.70,178.10,0.04
22.50,24.52,2.28,0.70,178.85,0.04
22.67,24.52,2.32,0.70,179.60,0.04
22.83,24.52,2.36,0.70,180.35,0.04
23.00,24.52,2.41,0.70,181.11,0.04
23.17,24.52,2.45,0.71,181.86,0.04
23.33,24.52,2.49,0.71,182.61,0.04
23.50,24.52,2.53,0.71,183.36,0.04
23.67,24.52,2.58,0.71,184.12,0.04
23.83,24.52,2.62,0.71,184.88,0.04
24.00,24.52,2.66,0.71,185.64,0.04
24.17,24.52,2.70,0.72,186.40,0.04
24.33,24.52,2.75,0.72,187.16,0.04
24.50,24.52,2.79,0.72,187.93,0.04
24.67,24.52,2.83,0.72,188.69,0.04
24.83,24.52,2.87,0.72,189.48,0.04
25.00,24.52,2.92,0.72,190.26,0.04
25.17,24.52,2.96,0.72,191.05,0.04
25.33,24.52,3.00,0.73,191.84,0.04
25.50,24.52,3.04,0.73,192.63,0.04
25.67,24.52,3.09,0.73,193.42,0.04
25.83,24.52,3.13,0.73,194.21,0.04
26.00,24.52,3.17,0.73,195.01,0.04
26.17,24.52,3.21,0.73,195.81,0.04
26.33,24.52,3.26,0.73,196.62,0.04
26.50,24.52,3.30,0.74,197.42,0.04
26.67,24.52,3.34,0.74,198.22,0.04
26.83,24.52,3.38,0.74,199.04,0.04
27.00,24.52,3.43,0.74,199.85,0.04
27.17,24.52,3.47,0.74,200.66,0.04
27.33,24.52,3.51,0.74,201.47,0.04
27.50,24.52,3.55,0.75,202.29,0.04
27.67,24.52,3.60,0.75,203.11,0.04
27.83,24.52,3.64,0.75,203.93,0.04
28.00,24.52,3.68,0.75,204.74,0.04
28.17,24.52,3.72,0.75,205.55,0.04
28.33,24.52,3.76,0.75,206.37,0.04
28.50,24.60,3.81,0.75,207.18,0.04
28.67,24.60,3.85,0.75,207.99,0.04
28.83,24.60,3.90,0.76,208.80,0.04
29.00,24.60,3.94,0.76,209.60,0.04
29.17,24.60,3.98,0.76,210.41,0.04
29.33,24.60,4.02,0.76,211.20,0.04
29.50,24.60,4.06,0.76,211.99,0.04
29.67,24.60,4.11,0.76,212.78,0.04
29.83,24.60,4.15,0.76,213.54,0.04
30.00,24.60,4.19,0.77,214.31,0.04
30.17,24.60,4.23,0.77,215.06,0.04
30.33,24.60,4.28,0.77,215.82,0.04
30.50,24.60,4.32,0.77,216.56,0.04
30.67,24.60,4.36,0.77,217.29,0.04
30.83,24.60,4.40,0.77,218.01,0.04
31.00,24.60,4.44,0.77,218.73,0.04
31.17,24.60,4.49,0.77,219.43,0.04
31.33,24.60,4.53,0.78,220.12,0.04
31.50,24.68,4.57,0.78,220.81,0.04
31.67,24.68,4.62,0.78,221.50,0.04
31.83,24.68,4.66,0.78,222.17,0.04
32.00,24.68,4.70,0.78,222.84,0.04
32.17,24.68,4.74,0.78,223.50,0.04
32.33,24.68,4.78,0.78,224.15,0.04
32.50,24.68,4.82,0.78,224.79,0.04
32.67,24.68,4.87,0.78,225.41,0.04
32.83,24.68,4.91,0.78,226.02,0.04
33.00,24.68,4.95,0.79,226.63,0.04
33.17,24.68,4.99,0.79,227.23,0.04
33.33,24.68,5.03,0.79,227.82,0.04
33.50,24.68,5.08,0.79,228.39,0.04
33.67,24.68,5.12,0.79,228.96,0.04
33.83,24.68,5.16,0.79,229.52,0.04
34.00,24.68,5.20,0.79,230.07,0.04
34.17,24.68,5.24,0.79,230.61,0.04
34.33,24.76,5.29,0.79,231.15,0.04
34.50,24.76,5.33,0.79,231.68,0.04
34.67,24.76,5.37,0.79,232.20,0.04
34.83,24.76,5.41,0.80,232.71,0.04
35.00,24.76,5.46,0.80,233.21,0.04
35.17,24.76,5.50,0.80,233.71,0.04
35.33,24.76,5.54,0.80,234.19,0.04
35.50,24.76,5.58,0.80,234.68,0.04
35.67,24.76,5.62,0.80,235.15,0.04
35.83,24.76,5.67,0.80,235.62,0.04
36.00,24.76,5.71,0.80,236.07,0.04
36.17,24.76,5.75,0.80,236.53,0.04
36.33,24.76,5.79,0.80,236.98,0.04
36.50,24.76,5.83,0.80,237.42,0.04
36.67,24.76,5.88,0.80,237.86,0.04
36.83,24.76,5.92,0.80,238.30,0.04
37.00,24.76,5.96,0.81,238.72,0.04
37.17,24.76,6.00,0.81,239.14,0.04
37.33,24.76,6.04,0.81,239.56,0.04
37.50,24.76,6.08,0.81,239.96,0.04
37.67,24.76,6.13,0.81,240.36,0.04
37.83,24.76,6.17,0.81,240.78,0.04
38.00,24.76,6.21,0.81,241.17,0.04
38.17,24.76,6.25,0.81,241.57,0.04
38.33,24.76,0.01,0.81,241.97,0.04
38.50,24.76,0.05,0.81,242.34,0.04
38.67,24.76,0.10,0.81,242.71,0.04
38.83,24.76,0.14,0.81,243.06,0.04
39.00,24.76,0.18,0.81,243.43,0.04
