time,periods,phase,amplitude,power,frequencies
7.17,25.57,1.59,0.52,150.29,0.04
7.33,25.57,1.63,0.52,151.37,0.04
7.50,25.57,1.67,0.53,152.45,0.04
7.67,25.57,1.71,0.53,153.54,0.04
7.83,25.57,1.75,0.53,154.62,0.04
8.00,25.57,1.79,0.53,155.70,0.04
8.17,25.57,1.83,0.53,156.79,0.04
8.33,25.57,1.87,0.54,157.88,0.04
8.50,25.57,1.91,0.54,158.96,0.04
8.67,25.57,1.95,0.54,160.05,0.04
8.83,25.57,1.99,0.54,161.14,0.04
9.00,25.49,2.02,0.54,162.23,0.04
9.17,25.49,2.07,0.55,163.33,0.04
9.33,25.49,2.11,0.55,164.42,0.04
9.50,25.49,2.15,0.55,165.52,0.04
9.67,25.49,2.19,0.55,166.62,0.04
9.83,25.49,2.23,0.55,167.71,0.04
10.00,25.49,2.27,0.56,168.81,0.04
10.17,25.49,2.31,0.56,169.90,0.04
10.33,25.49,2.35,0.56,170.99,0.04
10.50,25.49,2.39,0.56,172.09,0.04
10.67,25.49,2.43,0.56,173.18,0.04
10.83,25.49,2.47,0.56,174.27,0.04
11.00,25.49,2.51,0.57,175.37,0.04
11.17,25.49,2.56,0.57,176.46,0.04
11.33,25.49,2.60,0.57,177.55,0.04
11.50,25.49,2.64,0.57,178.63,0.04
11.67,25.41,2.67,0.57,179.72,0.04
11.83,25.41,2.71,0.58,180.80,0.04
12.00,25.41,2.75,0.58,181.89,0.04
12.17,25.41,2.79,0.58,182.97,0.04
12.33,25.41,2.83,0.58,184.05,0.04
12.50,25.41,2.87,0.58,185.13,0.04
12.67,25.41,2.91,0.58,186.21,0.04
12.83,25.41,2.95,0.59,187.29,0.04
13.00,25.41,3.00,0.59,188.36,0.04
13.17,25.41,3.04,0.59,189.43,0.04
13.33,25.41,3.08,0.59,190.49,0.04
13.50,25.41,3.12,0.59,191.56,0.04
13.67,25.41,3.16,0.59,192.61,0.04
13.83,25.41,3.20,0.60,193.67,0.04
14.00,25.41,3.24,0.60,194.72,0.04
14.17,25.41,3.28,0.60,195.77,0.04
14.33,25.41,3.32,0.60,196.81,0.04
14.50,25.41,3.36,0.60,197.86,0.04
14.67,25.41,3.40,0.60,198.90,0.04
14.83,25.41,3.44,0.61,199.94,0.04
15.00,25.33,3.48,0.61,200.97,0.04
15.17,25.33,3.52,0.61,202.00,0.04
15.33,25.33,3.56,0.61,203.03,0.04
15.50,25.33,3.60,0.61,204.05,0.04
15.67,25.33,3.64,0.61,205.07,0.04
15.83,25.33,3.68,0.62,206.08,0.04
16.00,25.33,3.72,0.62,207.09,0.04
16.17,25.33,3.76,0.62,208.10,0.04
16.33,25.33,3.81,0.62,209.10,0.04
16.50,25.33,3.85,0.62,210.10,0.04
16.67,25.33,3.89,0.62,211.10,0.04
16.83,25.33,3.93,0.62,212.09,0.04
17.00,25.33,3.97,0.63,213.07,0.04
17.17,25.33,4.01,0.63,214.06,0.04
17.33,25.33,4.05,0.63,215.03,0.04
17.50,25.33,4.09,0.63,216.01,0.04
17.67,25.33,4.13,0.63,216.98,0.04
17.83,25.33,4.17,0.63,217.94,0.04
18.00,25.33,4.22,0.63,218.91,0.04
18.17,25.33,4.26,0.64,219.86,0.04
18.33,25.25,4.29,0.64,220.82,0.04
18.50,25.25,4.33,0.64,221.77,0.04
18.67,25.25,4.37,0.64,222.72,0.04
18.83,25.25,4.41,0.64,223.67,0.04
19.00,25.25,4.45,0.64,224.61,0.04
19.17,25.25,4.50,0.64,225.55,0.04
19.33,25.25,4.54,0.65,226.48,0.04
19.50,25.25,4.58,0.65,227.41,0.04
19.67,25.25,4.62,0.65,228.34,0.04
19.83,25.25,4.66,0.65,229.26,0.04
20.00,25.25,4.70,0.65,230.18,0.04
20.17,25.25,4.74,0.65,231.09,0.04
20.33,25.25,4.78,0.65,232.00,0.04
20.50,25.25,4.83,0.66,232.90,0.04
20.67,25.25,4.87,0.66,233.79,0.04
20.83,25.25,4.91,0.66,234.68,0.04
21.00,25.25,4.95,0.66,235.57,0.04
21.17,25.25,4.99,0.66,236.45,0.04
21.33,25.25,5.03,0.66,237.34,0.04
21.50,25.25,5.07,0.66,238.21,0.04
21.67,25.25,5.11,0.66,239.08,0.04
21.83,25.17,5.15,0.67,239.96,0.04
22.00,25.17,5.19,0.67,240.82,0.04
22.17,25.17,5.23,0.67,241.68,0.04
22.33,25.17,5.27,0.67,242.54,0.04
22.50,25.17,5.31,0.67,243.39,0.04
22.67,25.17,5.35,0.67,244.24,0.04
22.83,25.17,5.40,0.67,245.08,0.04
23.00,25.17,5.44,0.67,245.91,0.04
23.17,25.17,5.48,0.68,246.73,0.04
23.33,25.17,5.52,0.68,247.56,0.04
23.50,25.17,5.56,0.68,248.37,0.04
23.67,25.17,5.60,0.68,249.18,0.04
23.83,25.17,5.64,0.68,249.99,0.04
24.00,25.17,5.68,0.68,250.78,0.04
24.17,25.17,5.73,0.68,251.58,0.04
24.33,25.17,5.77,0.68,252.37,0.04
24.50,25.17,5.81,0.68,253.16,0.04
24.67,25.17,5.85,0.69,253.92,0.04
24.83,25.17,5.89,0.69,254.69,0.04
25.00,25.17,5.93,0.69,255.45,0.04
25.17,25.17,5.97,0.69,256.20,0.04
25.33,25.17,6.02,0.69,256.95,0.04
25.50,25.17,6.06,0.69,257.69,0.04
