time,periods,phase,amplitude,power,frequencies
3.50,24.46,3.91,0.30,80.92,0.04
3.67,24.46,3.95,0.30,81.57,0.04
3.83,24.46,4.00,0.30,82.21,0.04
4.00,24.46,4.04,0.30,82.85,0.04
4.17,24.46,4.08,0.30,83.50,0.04
4.33,24.46,4.12,0.30,84.14,0.04
4.50,24.46,4.17,0.31,84.78,0.04
4.67,24.46,4.21,0.31,85.42,0.04
4.83,24.46,4.25,0.31,86.06,0.04
5.00,24.46,4.29,0.31,86.71,0.04
5.17,24.46,4.34,0.31,87.35,0.04
5.33,24.46,4.38,0.31,87.99,0.04
5.50,24.46,4.42,0.31,88.63,0.04
5.67,24.46,4.46,0.31,89.27,0.04
5.83,24.46,4.51,0.31,89.92,0.04
6.00,24.46,4.55,0.32,90.56,0.04
6.17,24.46,4.59,0.32,91.20,0.04
6.33,24.46,4.63,0.32,91.84,0.04
6.50,24.46,4.68,0.32,92.48,0.04
6.67,24.46,4.72,0.32,93.11,0.04
6.83,24.46,4.76,0.32,93.75,0.04
7.00,24.46,4.80,0.32,94.39,0.04
7.17,24.46,4.85,0.32,95.02,0.04
7.33,24.46,4.89,0.32,95.66,0.04
7.50,24.46,4.93,0.33,96.29,0.04
7.67,24.46,4.97,0.33,96.92,0.04
7.83,24.46,5.02,0.33,97.55,0.04
8.00,24.46,5.06,0.33,98.18,0.04
8.17,24.54,5.11,0.33,98.81,0.04
8.33,24.54,5.15,0.33,99.44,0.04
8.50,24.54,5.20,0.33,100.07,0.04
8.67,24.54,5.24,0.33,100.69,0.04
8.83,24.54,5.28,0.33,101.31,0.04
9.00,24.54,5.32,0.33,101.94,0.04
9.17,24.54,5.36,0.34,102.56,0.04
9.33,24.54,5.41,0.34,103.18,0.04
9.50,24.54,5.45,0.34,103.79,0.04
9.67,24.54,5.49,0.34,104.41,0.04
9.83,24.54,5.53,0.34,105.02,0.04
10.00,24.54,5.58,0.34,105.64,0.04
10.17,24.54,5.62,0.34,106.24,0.04
10.33,24.54,5.66,0.34,106.85,0.04
10.50,24.54,5.70,0.34,107.46,0.04
10.67,24.54,5.74,0.34,108.06,0.04
10.83,24.54,5.79,0.35,108.66,0.04
11.00,24.54,5.83,0.35,109.26,0.04
11.17,24.54,5.87,0.35,109.86,0.04
11.33,24.54,5.91,0.35,110.45,0.04
11.50,24.63,5.96,0.35,111.04,0.04
11.67,24.63,6.01,0.35,111.63,0.04
11.83,24.63,6.05,0.35,112.22,0.04
12.00,24.63,6.09,0.35,112.81,0.04
12.17,24.63,6.13,0.35,113.39,0.04
12.33,24.63,6.17,0.35,113.97,0.04
12.50,24.63,6.22,0.35,114.55,0.04
12.67,24.63,6.26,0.35,115.12,0.04
12.83,24.63,0.02,0.36,115.70,0.04
13.00,24.63,0.06,0.36,116.26,0.04
13.17,24.63,0.10,0.36,116.83,0.04
13.33,24.63,0.14,0.36,117.39,0.04
13.50,24.63,0.19,0.36,117.95,0.04
13.67,24.63,0.23,0.36,118.51,0.04
13.83,24.71,0.28,0.36,119.06,0.04
14.00,24.71,0.32,0.36,119.62,0.04
14.17,24.71,0.36,0.36,120.17,0.04
14.33,24.71,0.40,0.36,120.71,0.04
14.50,24.71,0.44,0.36,121.26,0.04
14.67,24.71,0.49,0.36,121.80,0.04
14.83,24.71,0.53,0.37,122.33,0.04
15.00,24.71,0.57,0.37,122.87,0.04
15.17,24.71,0.61,0.37,123.40,0.04
15.33,24.71,0.65,0.37,123.92,0.04
15.50,24.71,0.70,0.37,124.44,0.04
15.67,24.80,0.74,0.37,124.96,0.04
15.83,24.80,0.79,0.37,125.48,0.04
16.00,24.80,0.83,0.37,125.99,0.04
16.17,24.80,0.87,0.37,126.51,0.04
16.33,24.80,0.91,0.37,127.01,0.04
16.50,24.80,0.95,0.37,127.52,0.04
16.67,24.80,1.00,0.37,128.01,0.04
16.83,24.80,1.04,0.37,128.51,0.04
17.00,24.80,1.08,0.37,129.00,0.04
17.17,24.80,1.12,0.38,129.49,0.04
17.33,24.80,1.16,0.38,129.97,0.04
17.50,24.88,1.21,0.38,130.45,0.04
17.67,24.88,1.25,0.38,130.94,0.04
17.83,24.88,1.29,0.38,131.41,0.04
