time,periods,phase,amplitude,power,frequencies
13.17,25.14,3.68,0.60,133.70,0.04
13.33,25.14,3.72,0.61,134.75,0.04
13.50,25.14,3.76,0.61,135.79,0.04
13.67,25.14,3.80,0.61,136.85,0.04
13.83,25.14,3.84,0.61,137.92,0.04
14.00,25.14,3.88,0.62,138.99,0.04
14.17,25.14,3.92,0.62,140.06,0.04
14.33,25.14,3.97,0.62,141.14,0.04
14.50,25.14,4.01,0.62,142.23,0.04
14.67,25.14,4.05,0.62,143.29,0.04
14.83,25.14,4.09,0.63,144.36,0.04
15.00,25.14,4.13,0.63,145.42,0.04
15.17,25.14,4.17,0.63,146.48,0.04
15.33,25.14,4.21,0.63,147.54,0.04
15.50,25.14,4.25,0.64,148.61,0.04
15.67,25.14,4.30,0.64,149.68,0.04
15.83,25.14,4.34,0.64,150.74,0.04
16.00,25.14,4.38,0.64,151.79,0.04
16.17,25.14,4.42,0.65,152.84,0.04
16.33,25.14,4.46,0.65,153.90,0.04
16.50,25.14,4.50,0.65,154.96,0.04
16.67,25.14,4.54,0.65,156.01,0.04
16.83,25.14,4.58,0.65,157.05,0.04
17.00,25.14,4.62,0.66,158.09,0.04
17.17,25.14,4.67,0.66,159.13,0.04
17.33,25.14,4.71,0.66,160.16,0.04
17.50,25.14,4.75,0.66,161.19,0.04
17.67,25.23,4.80,0.66,162.20,0.04
17.83,25.23,4.84,0.67,163.22,0.04
18.00,25.23,4.88,0.67,164.22,0.04
18.17,25.23,4.92,0.67,165.22,0.04
18.33,25.23,4.96,0.67,166.21,0.04
18.50,25.23,5.00,0.67,167.19,0.04
18.67,25.23,5.04,0.68,168.17,0.04
18.83,25.23,5.08,0.68,169.14,0.04
19.00,25.23,5.13,0.68,170.11,0.04
19.17,25.23,5.17,0.68,171.07,0.04
19.33,25.23,5.21,0.68,172.02,0.04
19.50,25.23,5.25,0.69,172.96,0.04
19.67,25.23,5.29,0.69,173.89,0.04
19.83,25.23,5.33,0.69,174.83,0.04
20.00,25.23,5.37,0.69,175.75,0.04
20.17,25.23,5.41,0.69,176.67,0.04
20.33,25.23,5.45,0.69,177.58,0.04
20.50,25.23,5.49,0.70,178.49,0.04
20.67,25.23,5.53,0.70,179.39,0.04
20.83,25.23,5.58,0.70,180.28,0.04
21.00,25.23,5.62,0.70,181.17,0.04
21.17,25.23,5.66,0.70,182.05,0.04
21.33,25.23,5.70,0.70,182.93,0.04
21.50,25.23,5.74,0.71,183.81,0.04
21.67,25.23,5.78,0.71,184.68,0.04
21.83,25.23,5.82,0.71,185.55,0.04
22.00,25.23,5.86,0.71,186.41,0.04
