time,periods,phase,amplitude,power,frequencies
17.33,25.55,2.06,0.11,15.55,0.04
17.50,25.55,2.10,0.11,15.63,0.04
17.67,25.55,2.14,0.11,15.71,0.04
17.83,25.55,2.18,0.11,15.78,0.04
18.00,25.55,2.22,0.11,15.86,0.04
18.17,25.55,2.27,0.11,15.94,0.04
18.33,25.55,2.31,0.11,16.02,0.04
18.50,25.64,2.35,0.11,16.10,0.04
18.67,25.64,2.39,0.11,16.17,0.04
18.83,25.64,2.44,0.11,16.25,0.04
19.00,25.64,2.48,0.12,16.33,0.04
19.17,25.64,2.52,0.12,16.41,0.04
19.33,25.64,2.56,0.12,16.48,0.04
19.50,25.74,2.61,0.12,16.56,0.04
19.67,25.74,2.65,0.12,16.64,0.04
19.83,25.74,2.69,0.12,16.72,0.04
20.00,25.74,2.73,0.12,16.80,0.04
20.17,25.74,2.77,0.12,16.87,0.04
20.33,25.74,2.81,0.12,16.95,0.04
20.50,25.74,2.85,0.12,17.03,0.04
20.67,25.83,2.90,0.12,17.11,0.04
20.83,25.83,2.94,0.12,17.19,0.04
21.00,25.83,2.98,0.12,17.27,0.04
21.17,25.83,3.02,0.12,17.35,0.04
21.33,25.83,3.06,0.12,17.43,0.04
21.50,25.83,3.10,0.12,17.51,0.04
21.67,25.83,3.14,0.12,17.59,0.04
21.83,25.93,3.19,0.12,17.67,0.04
22.00,25.93,3.23,0.12,17.75,0.04
22.17,25.93,3.27,0.12,17.83,0.04
22.33,25.93,3.31,0.12,17.90,0.04
22.50,25.93,3.35,0.12,17.98,0.04
22.67,25.93,3.39,0.12,18.06,0.04
22.83,25.93,3.43,0.12,18.14,0.04
23.00,26.03,3.47,0.12,18.22,0.04
23.17,26.03,3.51,0.12,18.30,0.04
23.33,26.03,3.55,0.12,18.38,0.04
23.50,26.03,3.59,0.12,18.46,0.04
23.67,26.03,3.63,0.12,18.54,0.04
23.83,26.03,3.67,0.12,18.62,0.04
24.00,26.03,3.71,0.12,18.70,0.04
24.17,26.12,3.76,0.12,18.78,0.04
24.33,26.12,3.80,0.12,18.86,0.04
24.50,26.12,3.84,0.12,18.94,0.04
24.67,26.12,3.88,0.12,19.02,0.04
24.83,26.12,3.92,0.12,19.11,0.04
25.00,26.12,3.96,0.12,19.19,0.04
25.17,26.12,4.00,0.12,19.27,0.04
25.33,26.12,4.04,0.12,19.35,0.04
25.50,26.22,4.09,0.12,19.43,0.04
25.67,26.22,4.13,0.12,19.51,0.04
25.83,26.22,4.17,0.12,19.59,0.04
26.00,26.22,4.21,0.12,19.67,0.04
26.17,26.22,4.25,0.13,19.75,0.04
26.33,26.22,4.28,0.13,19.83,0.04
26.50,26.22,4.32,0.13,19.91,0.04
26.67,26.22,4.36,0.13,19.99,0.04
26.83,26.31,4.41,0.13,20.07,0.04
27.00,26.31,4.45,0.13,20.16,0.04
27.17,26.31,4.49,0.13,20.24,0.04
27.33,26.31,4.53,0.13,20.32,0.04
27.50,26.31,4.57,0.13,20.40,0.04
27.67,26.31,4.61,0.13,20.48,0.04
27.83,26.31,4.65,0.13,20.56,0.04
28.00,26.31,4.69,0.13,20.64,0.04
28.17,26.31,4.73,0.13,20.72,0.04
28.33,26.41,4.77,0.13,20.81,0.04
28.50,26.41,4.81,0.13,20.89,0.04
28.67,26.41,4.85,0.13,20.97,0.04
28.83,26.41,4.89,0.13,21.05,0.04
29.00,26.41,4.93,0.13,21.13,0.04
29.17,26.41,4.97,0.13,21.21,0.04
29.33,26.41,5.01,0.13,21.30,0.04
29.50,26.41,5.05,0.13,21.38,0.04
29.67,26.41,5.09,0.13,21.46,0.04
29.83,26.50,5.13,0.13,21.54,0.04
30.00,26.50,5.17,0.13,21.62,0.04
30.17,26.50,5.21,0.13,21.70,0.04
30.33,26.50,5.25,0.13,21.78,0.04
30.50,26.50,5.29,0.13,21.87,0.04
30.67,26.50,5.33,0.13,21.95,0.04
30.83,26.50,5.37,0.13,22.03,0.04
31.00,26.50,5.41,0.13,22.11,0.04
31.17,26.50,5.45,0.13,22.19,0.04
31.33,26.50,5.49,0.13,22.27,0.04
31.50,26.60,5.53,0.13,22.35,0.04
31.67,26.60,5.57,0.13,22.43,0.04
31.83,26.60,5.61,0.13,22.52,0.04
32.00,26.60,5.65,0.13,22.60,0.04
32.17,26.60,5.69,0.13,22.68,0.04
32.33,26.60,5.73,0.13,22.76,0.04
32.50,26.60,5.77,0.13,22.84,0.04
32.67,26.60,5.81,0.13,22.92,0.04
32.83,26.60,5.85,0.13,23.00,0.04
33.00,26.60,5.89,0.13,23.08,0.04
33.17,26.69,5.93,0.13,23.16,0.04
33.33,26.69,5.97,0.13,23.24,0.04
33.50,26.69,6.01,0.13,23.33,0.04
33.67,26.69,6.05,0.14,23.41,0.04
33.83,26.69,6.09,0.14,23.49,0.04
34.00,26.69,6.13,0.14,23.57,0.04
34.17,26.69,6.16,0.14,23.65,0.04
34.33,26.69,6.20,0.14,23.73,0.04
34.50,26.69,6.24,0.14,23.81,0.04
34.67,26.69,6.28,0.14,23.89,0.04
34.83,26.69,0.04,0.14,23.97,0.04
35.00,26.79,0.08,0.14,24.06,0.04
35.17,26.79,0.12,0.14,24.14,0.04
35.33,26.79,0.16,0.14,24.22,0.04
35.50,26.79,0.20,0.14,24.30,0.04
35.67,26.79,0.24,0.14,24.38,0.04
35.83,26.79,0.28,0.14,24.46,0.04
36.00,26.79,0.32,0.14,24.54,0.04
36.17,26.79,0.35,0.14,24.62,0.04
36.33,26.79,0.39,0.14,24.70,0.04
36.50,26.79,0.43,0.14,24.78,0.04
36.67,26.79,0.47,0.14,24.86,0.04
36.83,26.79,0.51,0.14,24.94,0.04
37.00,26.88,0.55,0.14,25.02,0.04
37.17,26.88,0.59,0.14,25.10,0.04
37.33,26.88,0.63,0.14,25.18,0.04
37.50,26.88,0.67,0.14,25.26,0.04
37.67,26.88,0.71,0.14,25.33,0.04
37.83,26.88,0.75,0.14,25.41,0.04
38.00,26.88,0.79,0.14,25.49,0.04
38.17,26.88,0.82,0.14,25.57,0.04
38.33,26.88,0.86,0.14,25.65,0.04
38.50,26.88,0.90,0.14,25.73,0.04
38.67,26.88,0.94,0.14,25.80,0.04
38.83,26.88,0.98,0.14,25.88,0.04
39.00,26.88,1.02,0.14,25.95,0.04
39.17,26.88,1.06,0.14,26.03,0.04
39.33,26.98,1.10,0.14,26.10,0.04
39.50,26.98,1.14,0.14,26.18,0.04
39.67,26.98,1.18,0.14,26.26,0.04
39.83,26.98,1.22,0.14,26.34,0.04
40.00,26.98,1.25,0.14,26.41,0.04
40.17,26.98,1.29,0.14,26.48,0.04
40.33,26.98,1.33,0.14,26.56,0.04
40.50,26.98,1.37,0.14,26.63,0.04
40.67,26.98,1.41,0.14,26.71,0.04
