time,periods,phase,amplitude,power,frequencies
9.67,24.97,4.54,0.31,63.33,0.04
9.83,24.97,4.58,0.31,63.67,0.04
10.00,24.88,4.61,0.31,63.99,0.04
10.17,24.88,4.65,0.31,64.32,0.04
10.33,24.88,4.69,0.31,64.65,0.04
10.50,24.88,4.73,0.31,64.97,0.04
10.67,24.78,4.77,0.31,65.29,0.04
10.83,24.78,4.81,0.31,65.61,0.04
11.00,24.78,4.85,0.31,65.93,0.04
11.17,24.78,4.89,0.31,66.24,0.04
11.33,24.78,4.93,0.31,66.56,0.04
11.50,24.69,4.97,0.32,66.87,0.04
11.67,24.69,5.01,0.32,67.19,0.04
11.83,24.69,5.05,0.32,67.50,0.04
12.00,24.69,5.09,0.32,67.81,0.04
12.17,24.59,5.13,0.32,68.13,0.04
12.33,24.59,5.17,0.32,68.44,0.04
12.50,24.59,5.21,0.32,68.75,0.04
12.67,24.50,5.24,0.32,69.06,0.04
12.83,24.50,5.29,0.32,69.38,0.04
13.00,24.50,5.33,0.32,69.70,0.04
13.17,24.50,5.37,0.32,70.01,0.04
13.33,24.50,5.41,0.33,70.32,0.04
13.50,24.40,5.45,0.33,70.64,0.04
13.67,24.40,5.49,0.33,70.96,0.04
13.83,24.40,5.53,0.33,71.28,0.04
14.00,24.40,5.57,0.33,71.59,0.04
14.17,24.31,5.61,0.33,71.91,0.04
14.33,24.31,5.65,0.33,72.24,0.04
14.50,24.31,5.69,0.33,72.56,0.04
14.67,24.31,5.74,0.33,72.89,0.04
14.83,24.21,5.77,0.33,73.21,0.04
15.00,24.21,5.82,0.33,73.53,0.04
15.17,24.21,5.86,0.34,73.85,0.04
15.33,24.21,5.90,0.34,74.18,0.04
15.50,24.21,5.94,0.34,74.50,0.04
15.67,24.12,5.98,0.34,74.82,0.04
15.83,24.12,6.02,0.34,75.15,0.04
16.00,24.12,6.06,0.34,75.48,0.04
16.17,24.12,6.11,0.34,75.80,0.04
16.33,24.12,6.15,0.34,76.13,0.04
16.50,24.12,6.19,0.34,76.44,0.04
16.67,24.12,6.24,0.34,76.76,0.04
16.83,24.02,6.27,0.34,77.09,0.04
