time,periods,phase,amplitude,power,frequencies
12.33,23.48,0.82,0.53,134.42,0.04
12.50,23.48,0.87,0.53,135.50,0.04
12.67,23.48,0.91,0.53,136.58,0.04
12.83,23.48,0.95,0.53,137.67,0.04
13.00,23.48,1.00,0.54,138.75,0.04
13.17,23.48,1.04,0.54,139.84,0.04
13.33,23.48,1.09,0.54,140.92,0.04
13.50,23.48,1.13,0.54,142.01,0.04
13.67,23.48,1.18,0.55,143.10,0.04
13.83,23.48,1.22,0.55,144.19,0.04
14.00,23.48,1.27,0.55,145.28,0.04
14.17,23.48,1.31,0.55,146.37,0.04
14.33,23.48,1.35,0.55,147.46,0.04
14.50,23.48,1.40,0.56,148.55,0.04
14.67,23.48,1.44,0.56,149.64,0.04
14.83,23.56,1.50,0.56,150.74,0.04
15.00,23.56,1.54,0.56,151.83,0.04
15.17,23.56,1.59,0.56,152.93,0.04
15.33,23.56,1.63,0.56,154.02,0.04
15.50,23.56,1.67,0.57,155.11,0.04
15.67,23.56,1.72,0.57,156.21,0.04
15.83,23.56,1.76,0.57,157.30,0.04
16.00,23.56,1.81,0.57,158.40,0.04
16.17,23.56,1.85,0.57,159.49,0.04
16.33,23.56,1.90,0.58,160.58,0.04
16.50,23.56,1.94,0.58,161.68,0.04
16.67,23.56,1.98,0.58,162.77,0.04
16.83,23.56,2.03,0.58,163.86,0.04
17.00,23.56,2.07,0.58,164.95,0.04
17.17,23.56,2.12,0.59,166.04,0.04
17.33,23.56,2.16,0.59,167.13,0.04
17.50,23.56,2.20,0.59,168.21,0.04
17.67,23.56,2.25,0.59,169.30,0.04
17.83,23.56,2.29,0.59,170.38,0.04
18.00,23.56,2.34,0.60,171.46,0.04
18.17,23.56,2.38,0.60,172.54,0.04
18.33,23.56,2.42,0.60,173.62,0.04
18.50,23.56,2.47,0.60,174.70,0.04
18.67,23.56,2.51,0.60,175.77,0.04
18.83,23.64,2.57,0.60,176.85,0.04
19.00,23.64,2.61,0.61,177.92,0.04
19.17,23.64,2.65,0.61,179.00,0.04
19.33,23.64,2.70,0.61,180.06,0.04
19.50,23.64,2.74,0.61,181.13,0.04
19.67,23.64,2.79,0.61,182.20,0.04
19.83,23.64,2.83,0.62,183.26,0.04
20.00,23.64,2.87,0.62,184.32,0.04
20.17,23.64,2.92,0.62,185.37,0.04
20.33,23.64,2.96,0.62,186.43,0.04
20.50,23.64,3.01,0.62,187.48,0.04
20.67,23.64,3.05,0.62,188.53,0.04
20.83,23.64,3.09,0.63,189.57,0.04
21.00,23.64,3.14,0.63,190.61,0.04
21.17,23.64,3.18,0.63,191.65,0.04
21.33,23.64,3.23,0.63,192.68,0.04
21.50,23.64,3.27,0.63,193.71,0.04
21.67,23.64,3.31,0.63,194.74,0.04
21.83,23.64,3.36,0.64,195.76,0.04
