time,periods,phase,amplitude,power,frequencies
38.33,33.00,5.81,0.33,91.53,0.03
38.50,33.00,5.84,0.33,91.91,0.03
38.67,33.00,5.87,0.34,92.30,0.03
38.83,33.00,5.90,0.34,92.68,0.03
39.00,33.00,5.93,0.34,93.07,0.03
39.17,33.00,5.96,0.34,93.45,0.03
39.33,33.00,5.99,0.34,93.84,0.03
39.50,33.00,6.02,0.34,94.22,0.03
39.67,33.00,6.05,0.34,94.61,0.03
39.83,33.00,6.08,0.34,95.00,0.03
40.00,33.00,6.11,0.34,95.38,0.03
40.17,33.00,6.14,0.34,95.76,0.03
40.33,33.00,6.17,0.34,96.15,0.03
40.50,33.00,6.20,0.34,96.54,0.03
40.67,33.00,6.23,0.34,96.94,0.03
40.83,33.00,6.27,0.34,97.34,0.03
41.00,33.00,0.01,0.34,97.74,0.03
41.17,33.00,0.04,0.35,98.15,0.03
41.33,33.00,0.08,0.35,98.58,0.03
41.50,33.00,0.11,0.35,98.97,0.03
41.67,33.00,0.14,0.35,99.38,0.03
41.83,33.00,0.17,0.35,99.81,0.03
42.00,33.00,0.20,0.35,100.25,0.03
42.17,33.00,0.23,0.35,100.68,0.03
42.33,33.00,0.26,0.35,101.09,0.03
42.50,33.00,0.29,0.35,101.56,0.03
42.67,33.00,0.32,0.35,101.99,0.03
42.83,33.00,0.36,0.35,102.45,0.03
43.00,33.00,0.39,0.35,102.92,0.03
43.17,33.00,0.42,0.35,103.35,0.03
43.33,33.00,0.45,0.36,103.87,0.03
43.50,33.00,0.48,0.36,104.42,0.03
43.67,33.00,0.51,0.36,104.95,0.03
43.83,33.00,0.54,0.36,105.42,0.03
44.00,33.00,0.57,0.36,105.86,0.03
44.17,33.00,0.61,0.36,106.36,0.03
44.33,33.00,0.64,0.36,106.88,0.03
44.50,33.00,0.67,0.36,107.37,0.03
44.67,33.00,0.70,0.36,107.84,0.03
44.83,33.00,0.73,0.36,108.37,0.03
45.00,33.00,0.76,0.36,108.93,0.03
45.17,33.00,0.79,0.36,109.48,0.03
45.33,33.00,0.82,0.37,110.08,0.03
45.50,33.00,0.86,0.37,110.65,0.03
45.67,33.00,0.89,0.37,111.20,0.03
45.83,33.00,0.92,0.37,111.75,0.03
46.00,33.00,0.95,0.37,112.23,0.03
46.17,33.00,0.98,0.37,112.85,0.03
46.33,33.00,1.01,0.37,113.37,0.03
46.50,33.00,1.04,0.37,113.89,0.03
46.67,33.00,1.07,0.37,114.49,0.03
46.83,33.00,1.11,0.37,115.14,0.03
47.00,33.00,1.14,0.38,115.63,0.03
47.17,33.00,1.17,0.38,116.16,0.03
47.33,33.00,1.20,0.38,116.73,0.03
47.50,33.00,1.23,0.38,117.28,0.03
47.67,33.00,1.26,0.38,117.88,0.03
47.83,33.00,1.29,0.38,118.33,0.03
48.00,33.00,1.32,0.38,118.92,0.03
48.17,33.00,1.35,0.38,119.48,0.03
48.33,33.00,1.38,0.38,120.05,0.03
48.50,33.00,1.42,0.38,120.58,0.03
48.67,33.00,1.45,0.38,121.22,0.03
48.83,33.00,1.48,0.38,121.68,0.03
49.00,33.00,1.51,0.39,122.15,0.03
49.17,33.00,1.54,0.39,122.78,0.03
49.33,33.00,1.57,0.39,123.32,0.03
49.50,33.00,1.60,0.39,123.76,0.03
49.67,33.00,1.63,0.39,124.38,0.03
49.83,33.00,1.66,0.39,124.89,0.03
50.00,33.00,1.69,0.39,125.35,0.03
50.17,33.00,1.73,0.39,126.03,0.03
50.33,33.00,1.76,0.39,126.61,0.03
50.50,33.00,1.79,0.39,127.12,0.03
50.67,33.00,1.82,0.39,127.70,0.03
50.83,33.00,1.85,0.39,128.13,0.03
51.00,33.00,1.88,0.40,128.65,0.03
51.17,33.00,1.91,0.40,129.20,0.03
51.33,33.00,1.94,0.40,129.67,0.03
51.50,33.00,1.97,0.40,130.16,0.03
51.67,33.00,2.00,0.40,130.64,0.03
51.83,33.00,2.03,0.40,131.13,0.03
52.00,33.00,2.07,0.40,131.58,0.03
52.17,33.00,2.10,0.40,132.08,0.03
52.33,33.00,2.13,0.40,132.50,0.03
52.50,33.00,2.16,0.40,132.89,0.03
52.67,33.00,2.19,0.40,133.39,0.03
52.83,33.00,2.22,0.40,133.80,0.03
53.00,33.00,2.25,0.40,134.21,0.03
53.17,33.00,2.28,0.40,134.67,0.03
53.33,33.00,2.31,0.41,135.00,0.03
53.50,33.00,2.35,0.41,135.45,0.03
53.67,33.00,2.38,0.41,135.87,0.03
53.83,33.00,2.41,0.41,136.27,0.03
54.00,33.00,2.44,0.41,136.64,0.03
54.17,33.00,2.47,0.41,137.01,0.03
54.33,33.00,2.50,0.41,137.35,0.03
54.50,33.00,2.53,0.41,137.73,0.03
54.67,33.00,2.57,0.41,138.06,0.03
54.83,33.00,2.60,0.41,138.43,0.03
55.00,33.00,2.63,0.41,138.82,0.03
55.17,33.00,2.66,0.41,139.18,0.03
55.33,33.00,2.69,0.41,139.53,0.03
55.50,33.00,2.72,0.41,139.90,0.03
55.67,33.00,2.76,0.41,140.28,0.03
55.83,33.00,2.79,0.41,140.65,0.03
56.00,33.00,2.82,0.41,141.02,0.03
56.17,33.00,2.85,0.41,141.40,0.03
56.33,33.00,2.88,0.42,141.78,0.03
56.50,33.00,2.92,0.42,142.17,0.03
56.67,33.00,2.95,0.42,142.57,0.03
56.83,33.00,2.98,0.42,142.98,0.03
57.00,33.00,3.01,0.42,143.40,0.03
57.17,33.00,3.04,0.42,143.81,0.03
57.33,33.00,3.08,0.42,144.28,0.03
57.50,33.00,3.11,0.42,144.67,0.03
57.67,33.00,3.14,0.42,145.16,0.03
57.83,33.00,3.17,0.42,145.62,0.03
58.00,33.00,3.21,0.42,146.12,0.03
58.17,32.91,3.24,0.42,146.65,0.03
58.33,32.91,3.27,0.42,147.15,0.03
58.50,32.91,3.30,0.42,147.71,0.03
58.67,32.83,3.33,0.43,148.27,0.03
58.83,32.83,3.36,0.43,148.93,0.03
59.00,32.83,3.39,0.43,149.47,0.03
59.17,32.74,3.42,0.43,150.17,0.03
59.33,32.74,3.46,0.43,150.91,0.03
59.50,32.66,3.48,0.43,151.59,0.03
59.67,32.66,3.52,0.43,152.37,0.03
59.83,32.66,3.55,0.43,153.19,0.03
60.00,32.57,3.58,0.44,154.15,0.03
60.17,32.57,3.61,0.44,154.54,0.03
60.33,32.57,3.64,0.44,154.94,0.03
