time,periods,phase,amplitude,power,frequencies
3.33,20.02,5.23,0.41,63.09,0.05
3.50,20.02,5.29,0.41,63.69,0.05
3.67,20.02,5.34,0.42,64.29,0.05
3.83,20.02,5.39,0.42,64.89,0.05
4.00,20.02,5.44,0.42,65.49,0.05
4.17,20.02,5.49,0.42,66.09,0.05
4.33,20.02,5.55,0.42,66.69,0.05
4.50,20.02,5.60,0.42,67.29,0.05
4.67,20.02,5.65,0.43,67.89,0.05
4.83,20.02,5.70,0.43,68.48,0.05
5.00,20.02,5.75,0.43,69.08,0.05
5.17,20.02,5.80,0.43,69.67,0.05
5.33,20.02,5.86,0.43,70.27,0.05
5.50,20.02,5.91,0.44,70.86,0.05
5.67,20.02,5.96,0.44,71.45,0.05
5.83,20.02,6.01,0.44,72.04,0.05
6.00,20.02,6.06,0.44,72.62,0.05
6.17,20.02,6.12,0.44,73.21,0.05
6.33,20.02,6.17,0.44,73.79,0.05
6.50,20.02,6.22,0.45,74.38,0.05
6.67,20.02,6.27,0.45,74.96,0.05
6.83,20.02,0.04,0.45,75.53,0.05
7.00,20.02,0.09,0.45,76.11,0.05
7.17,20.02,0.14,0.45,76.69,0.05
7.33,20.02,0.20,0.46,77.26,0.05
7.50,20.02,0.25,0.46,77.83,0.05
7.67,20.02,0.30,0.46,78.40,0.05
7.83,20.02,0.35,0.46,78.96,0.05
8.00,20.02,0.40,0.46,79.53,0.05
8.17,20.02,0.45,0.46,80.09,0.05
8.33,20.02,0.51,0.47,80.65,0.05
8.50,20.02,0.56,0.47,81.21,0.05
8.67,20.02,0.61,0.47,81.76,0.05
8.83,20.02,0.66,0.47,82.31,0.05
9.00,20.02,0.71,0.47,82.86,0.05
9.17,20.02,0.77,0.47,83.41,0.05
9.33,20.02,0.82,0.47,83.95,0.05
9.50,20.02,0.87,0.48,84.50,0.05
9.67,20.02,0.92,0.48,85.04,0.05
9.83,20.02,0.97,0.48,85.57,0.05
10.00,20.02,1.02,0.48,86.11,0.05
10.17,20.02,1.08,0.48,86.64,0.05
10.33,20.02,1.13,0.48,87.17,0.05
10.50,20.02,1.18,0.48,87.69,0.05
10.67,20.02,1.23,0.49,88.22,0.05
10.83,20.02,1.28,0.49,88.74,0.05
11.00,20.02,1.34,0.49,89.25,0.05
11.17,20.10,1.40,0.49,89.77,0.05
11.33,20.10,1.45,0.49,90.28,0.05
11.50,20.10,1.50,0.49,90.79,0.05
11.67,20.10,1.55,0.49,91.30,0.05
11.83,20.10,1.60,0.50,91.80,0.05
12.00,20.10,1.65,0.50,92.30,0.05
12.17,20.10,1.71,0.50,92.79,0.05
12.33,20.10,1.76,0.50,93.29,0.05
12.50,20.10,1.81,0.50,93.78,0.05
12.67,20.10,1.86,0.50,94.26,0.05
12.83,20.10,1.91,0.50,94.75,0.05
13.00,20.10,1.96,0.50,95.22,0.05
13.17,20.10,2.02,0.51,95.70,0.05
13.33,20.10,2.07,0.51,96.17,0.05
13.50,20.10,2.12,0.51,96.63,0.05
13.67,20.19,2.18,0.51,97.10,0.05
13.83,20.19,2.23,0.51,97.56,0.05
14.00,20.19,2.28,0.51,98.02,0.05
14.17,20.19,2.33,0.51,98.48,0.05
14.33,20.19,2.38,0.51,98.93,0.05
14.50,20.19,2.43,0.51,99.37,0.05
14.67,20.19,2.49,0.52,99.81,0.05
14.83,20.19,2.54,0.52,100.25,0.05
15.00,20.19,2.59,0.52,100.68,0.05
15.17,20.19,2.64,0.52,101.11,0.05
15.33,20.19,2.69,0.52,101.53,0.05
15.50,20.27,2.75,0.52,101.95,0.05
15.67,20.27,2.80,0.52,102.37,0.05
15.83,20.27,2.85,0.52,102.79,0.05
16.00,20.27,2.90,0.52,103.20,0.05
16.17,20.27,2.95,0.52,103.60,0.05
16.33,20.27,3.00,0.52,104.00,0.05
16.50,20.27,3.06,0.53,104.40,0.05
16.67,20.27,3.11,0.53,104.79,0.05
16.83,20.27,3.16,0.53,105.17,0.05
17.00,20.27,3.21,0.53,105.55,0.05
17.17,20.36,3.27,0.53,105.93,0.05
17.33,20.36,3.32,0.53,106.30,0.05
17.50,20.36,3.37,0.53,106.68,0.05
17.67,20.36,3.42,0.53,107.04,0.05
17.83,20.36,3.47,0.53,107.41,0.05
18.00,20.36,3.52,0.53,107.76,0.05
18.17,20.36,3.57,0.53,108.11,0.05
18.33,20.36,3.62,0.53,108.46,0.05
18.50,20.36,3.67,0.54,108.80,0.05
18.67,20.36,3.72,0.54,109.14,0.05
18.83,20.44,3.78,0.54,109.47,0.05
19.00,20.44,3.83,0.54,109.81,0.05
19.17,20.44,3.88,0.54,110.14,0.05
19.33,20.44,3.93,0.54,110.46,0.05
19.50,20.44,3.98,0.54,110.78,0.05
19.67,20.44,4.03,0.54,111.10,0.05
19.83,20.44,4.08,0.54,111.41,0.05
20.00,20.44,4.14,0.54,111.71,0.05
20.17,20.44,4.19,0.54,112.01,0.05
20.33,20.44,4.24,0.54,112.31,0.05
20.50,20.53,4.29,0.54,112.60,0.05
20.67,20.53,4.34,0.54,112.89,0.05
20.83,20.53,4.39,0.54,113.18,0.05
21.00,20.53,4.44,0.54,113.47,0.05
21.17,20.53,4.49,0.55,113.74,0.05
21.33,20.53,4.54,0.55,114.02,0.05
21.50,20.53,4.59,0.55,114.29,0.05
21.67,20.53,4.65,0.55,114.55,0.05
21.83,20.53,4.70,0.55,114.81,0.05
22.00,20.61,4.75,0.55,115.06,0.05
22.17,20.61,4.80,0.55,115.32,0.05
22.33,20.61,4.85,0.55,115.58,0.05
22.50,20.61,4.90,0.55,115.83,0.05
22.67,20.61,4.95,0.55,116.07,0.05
22.83,20.61,5.00,0.55,116.31,0.05
23.00,20.61,5.05,0.55,116.55,0.05
23.17,20.61,5.10,0.55,116.77,0.05
23.33,20.61,5.15,0.55,117.00,0.05
23.50,20.61,5.20,0.55,117.22,0.05
23.67,20.70,5.26,0.55,117.44,0.05
23.83,20.70,5.31,0.55,117.66,0.05
24.00,20.70,5.36,0.55,117.88,0.05
24.17,20.70,5.41,0.55,118.09,0.05
24.33,20.70,5.46,0.55,118.30,0.05
24.50,20.70,5.51,0.55,118.50,0.05
24.67,20.70,5.56,0.55,118.69,0.05
24.83,20.70,5.61,0.56,118.89,0.05
25.00,20.70,5.66,0.56,119.07,0.05
25.17,20.78,5.71,0.55,119.26,0.05
25.33,20.78,5.76,0.56,119.45,0.05
25.50,20.78,5.81,0.56,119.63,0.05
25.67,20.78,5.86,0.56,119.81,0.05
25.83,20.78,5.91,0.56,119.98,0.05
26.00,20.78,5.96,0.56,120.15,0.05
26.17,20.78,6.01,0.56,120.31,0.05
26.33,20.78,6.06,0.56,120.47,0.05
26.50,20.87,6.11,0.56,120.62,0.05
26.67,20.87,6.16,0.56,120.78,0.05
26.83,20.87,6.21,0.56,120.93,0.05
27.00,20.87,6.26,0.56,121.08,0.05
27.17,20.87,0.02,0.56,121.22,0.05
27.33,20.87,0.07,0.56,121.35,0.05
27.50,20.87,0.12,0.56,121.48,0.05
27.67,20.87,0.17,0.56,121.60,0.05
27.83,20.95,0.22,0.56,121.72,0.05
28.00,20.95,0.27,0.56,121.85,0.05
28.17,20.95,0.32,0.56,121.96,0.05
28.33,20.95,0.37,0.56,122.07,0.05
28.50,20.95,0.42,0.56,122.18,0.05
28.67,20.95,0.47,0.56,122.28,0.05
28.83,20.95,0.52,0.56,122.37,0.05
29.00,20.95,0.57,0.56,122.46,0.05
29.17,21.04,0.62,0.56,122.54,0.05
29.33,21.04,0.67,0.56,122.63,0.05
29.50,21.04,0.72,0.56,122.71,0.05
29.67,21.04,0.77,0.56,122.78,0.05
29.83,21.04,0.82,0.56,122.85,0.05
30.00,21.04,0.87,0.56,122.91,0.05
30.17,21.04,0.92,0.56,122.96,0.05
30.33,21.04,0.97,0.56,123.01,0.05
30.50,21.13,1.01,0.56,123.06,0.05
30.67,21.13,1.06,0.56,123.11,0.05
30.83,21.13,1.11,0.56,123.15,0.05
31.00,21.13,1.16,0.56,123.18,0.05
31.17,21.13,1.21,0.56,123.20,0.05
31.33,21.13,1.26,0.56,123.22,0.05
31.50,21.13,1.31,0.56,123.24,0.05
31.67,21.21,1.36,0.56,123.24,0.05
31.83,21.21,1.41,0.56,123.25,0.05
32.00,21.21,1.45,0.56,123.25,0.05
32.17,21.21,1.50,0.56,123.25,0.05
32.33,21.21,1.55,0.56,123.23,0.05
32.50,21.21,1.60,0.56,123.22,0.05
32.67,21.21,1.65,0.56,123.19,0.05
32.83,21.21,1.70,0.56,123.16,0.05
33.00,21.30,1.75,0.56,123.13,0.05
33.17,21.30,1.80,0.56,123.09,0.05
33.33,21.30,1.84,0.56,123.05,0.05
33.50,21.30,1.89,0.56,123.01,0.05
33.67,21.30,1.94,0.56,122.96,0.05
33.83,21.30,1.99,0.56,122.90,0.05
34.00,21.30,2.04,0.56,122.84,0.05
34.17,21.30,2.09,0.56,122.77,0.05
34.33,21.38,2.13,0.56,122.70,0.05
34.50,21.38,2.18,0.55,122.62,0.05
34.67,21.38,2.23,0.55,122.54,0.05
34.83,21.38,2.28,0.55,122.46,0.05
35.00,21.38,2.33,0.55,122.37,0.05
35.17,21.38,2.38,0.55,122.27,0.05
35.33,21.38,2.43,0.55,122.17,0.05
35.50,21.38,2.47,0.55,122.07,0.05
35.67,21.47,2.52,0.55,121.96,0.05
35.83,21.47,2.57,0.55,121.85,0.05
36.00,21.47,2.62,0.55,121.74,0.05
36.17,21.47,2.66,0.55,121.62,0.05
36.33,21.47,2.71,0.55,121.49,0.05
36.50,21.47,2.76,0.55,121.36,0.05
36.67,21.47,2.81,0.55,121.22,0.05
36.83,21.55,2.86,0.55,121.08,0.05
37.00,21.55,2.90,0.55,120.95,0.05
37.17,21.55,2.95,0.55,120.80,0.05
37.33,21.55,3.00,0.55,120.66,0.05
37.50,21.55,3.05,0.55,120.50,0.05
37.67,21.55,3.10,0.55,120.34,0.05
37.83,21.55,3.14,0.55,120.18,0.05
38.00,21.55,3.19,0.55,120.01,0.05
38.17,21.64,3.24,0.55,119.84,0.05
38.33,21.64,3.28,0.54,119.67,0.05
38.50,21.64,3.33,0.54,119.49,0.05
38.67,21.64,3.38,0.54,119.31,0.05
38.83,21.64,3.43,0.54,119.12,0.05
39.00,21.64,3.48,0.54,118.92,0.05
39.17,21.72,3.52,0.54,118.72,0.05
39.33,21.72,3.57,0.54,118.52,0.05
39.50,21.72,3.61,0.54,118.32,0.05
39.67,21.72,3.66,0.54,118.11,0.05
39.83,21.72,3.71,0.54,117.89,0.05
40.00,21.72,3.76,0.54,117.67,0.05
40.17,21.72,3.80,0.54,117.44,0.05
40.33,21.81,3.85,0.54,117.21,0.05
40.50,21.81,3.90,0.54,116.98,0.05
40.67,21.81,3.94,0.54,116.75,0.05
40.83,21.81,3.99,0.54,116.49,0.05
41.00,21.81,4.04,0.53,116.24,0.05
41.17,21.89,4.08,0.53,115.98,0.05
41.33,21.89,4.13,0.53,115.72,0.05
41.50,21.89,4.17,0.53,115.45,0.05
41.67,21.89,4.22,0.53,115.18,0.05
41.83,21.89,4.27,0.53,114.90,0.05
42.00,21.98,4.31,0.53,114.61,0.05
42.17,21.98,4.36,0.53,114.32,0.05
42.33,21.98,4.40,0.53,114.02,0.05
42.50,21.98,4.45,0.53,113.72,0.05
42.67,21.98,4.50,0.53,113.41,0.05
42.83,22.07,4.54,0.52,113.10,0.05
43.00,22.07,4.58,0.52,112.78,0.05
43.17,22.07,4.63,0.52,112.46,0.05
43.33,22.07,4.68,0.52,112.12,0.05
43.50,22.15,4.72,0.52,111.78,0.05
43.67,22.15,4.76,0.52,111.45,0.05
43.83,22.15,4.81,0.52,111.10,0.05
44.00,22.15,4.86,0.52,110.75,0.05
44.17,22.24,4.90,0.52,110.39,0.04
44.33,22.24,4.94,0.52,110.04,0.04
44.50,22.24,4.99,0.51,109.66,0.04
44.67,22.32,5.03,0.51,109.28,0.04
44.83,22.32,5.08,0.51,108.91,0.04
45.00,22.32,5.12,0.51,108.52,0.04
45.17,22.32,5.17,0.51,108.13,0.04
45.33,22.41,5.21,0.51,107.74,0.04
45.50,22.41,5.25,0.51,107.35,0.04
45.67,22.41,5.30,0.51,106.93,0.04
45.83,22.49,5.34,0.50,106.53,0.04
46.00,22.49,5.38,0.50,106.12,0.04
46.17,22.49,5.43,0.50,105.70,0.04
46.33,22.58,5.47,0.50,105.29,0.04
46.50,22.58,5.51,0.50,104.87,0.04
46.67,22.66,5.55,0.50,104.46,0.04
46.83,22.66,5.59,0.50,104.05,0.04
47.00,22.75,5.63,0.49,103.63,0.04
47.17,22.75,5.68,0.49,103.21,0.04
47.33,22.83,5.71,0.49,102.78,0.04
47.50,22.83,5.76,0.49,102.35,0.04
47.67,22.92,5.80,0.49,101.92,0.04
47.83,22.92,5.84,0.49,101.49,0.04
48.00,23.01,5.88,0.49,101.07,0.04
48.17,23.09,5.91,0.48,100.64,0.04
48.33,23.09,5.96,0.48,100.21,0.04
48.50,23.18,5.99,0.48,99.80,0.04
48.67,23.26,6.03,0.48,99.38,0.04
