time,periods,phase,amplitude,power,frequencies
19.50,21.79,5.80,0.63,124.25,0.05
19.67,21.79,5.85,0.63,125.09,0.05
19.83,21.79,5.89,0.64,125.93,0.05
20.00,21.79,5.94,0.64,126.76,0.05
20.17,21.79,5.99,0.64,127.59,0.05
20.33,21.79,6.04,0.64,128.42,0.05
20.50,21.79,6.08,0.64,129.24,0.05
20.67,21.79,6.13,0.65,130.06,0.05
20.83,21.79,6.18,0.65,130.87,0.05
21.00,21.87,6.24,0.65,131.68,0.05
21.17,21.87,6.28,0.65,132.50,0.05
21.33,21.87,0.05,0.65,133.30,0.05
21.50,21.87,0.09,0.65,134.11,0.05
21.67,21.87,0.14,0.66,134.91,0.05
21.83,21.87,0.19,0.66,135.70,0.05
22.00,21.87,0.24,0.66,136.50,0.05
22.17,21.87,0.28,0.66,137.28,0.05
22.33,21.87,0.33,0.66,138.07,0.05
22.50,21.87,0.38,0.67,138.85,0.05
22.67,21.87,0.43,0.67,139.62,0.05
22.83,21.87,0.47,0.67,140.40,0.05
23.00,21.95,0.53,0.67,141.17,0.05
23.17,21.95,0.58,0.67,141.94,0.05
23.33,21.95,0.62,0.67,142.71,0.05
23.50,21.95,0.67,0.68,143.47,0.05
23.67,21.95,0.72,0.68,144.24,0.05
23.83,21.95,0.77,0.68,145.00,0.05
24.00,21.95,0.81,0.68,145.75,0.05
24.17,21.95,0.86,0.68,146.51,0.05
24.33,21.95,0.91,0.68,147.26,0.05
24.50,21.95,0.96,0.69,148.01,0.05
24.67,21.95,1.00,0.69,148.76,0.05
24.83,21.95,1.05,0.69,149.51,0.05
25.00,21.95,1.10,0.69,150.26,0.05
25.17,21.95,1.14,0.69,151.00,0.05
25.33,21.95,1.19,0.69,151.75,0.05
25.50,21.95,1.24,0.70,152.49,0.05
25.67,22.03,1.29,0.70,153.24,0.05
25.83,22.03,1.34,0.70,153.99,0.05
26.00,22.03,1.39,0.70,154.74,0.05
26.17,22.03,1.44,0.70,155.49,0.05
26.33,22.03,1.48,0.70,156.24,0.05
26.50,22.03,1.53,0.71,156.98,0.05
26.67,22.03,1.58,0.71,157.73,0.05
26.83,22.03,1.62,0.71,158.48,0.05
27.00,22.03,1.67,0.71,159.23,0.05
27.17,22.03,1.72,0.71,159.98,0.05
27.33,22.03,1.77,0.71,160.73,0.05
27.50,22.03,1.81,0.72,161.47,0.05
27.67,22.03,1.86,0.72,162.22,0.05
27.83,22.03,1.91,0.72,162.97,0.05
28.00,22.03,1.95,0.72,163.71,0.05
28.17,22.11,2.01,0.72,164.46,0.05
28.33,22.11,2.05,0.72,165.21,0.05
28.50,22.11,2.10,0.72,165.96,0.05
28.67,22.11,2.15,0.73,166.71,0.05
28.83,22.11,2.20,0.73,167.46,0.05
29.00,22.11,2.24,0.73,168.20,0.05
29.17,22.11,2.29,0.73,168.95,0.05
29.33,22.11,2.34,0.73,169.69,0.05
29.50,22.11,2.38,0.73,170.42,0.05
29.67,22.11,2.43,0.74,171.16,0.05
29.83,22.11,2.48,0.74,171.89,0.05
30.00,22.11,2.52,0.74,172.61,0.05
30.17,22.19,2.58,0.74,173.34,0.05
30.33,22.19,2.62,0.74,174.07,0.05
30.50,22.19,2.67,0.74,174.79,0.05
30.67,22.19,2.72,0.74,175.51,0.05
30.83,22.19,2.76,0.74,176.22,0.05
31.00,22.19,2.81,0.75,176.92,0.05
31.17,22.19,2.86,0.75,177.62,0.05
31.33,22.19,2.90,0.75,178.32,0.05
31.50,22.19,2.95,0.75,179.00,0.05
31.67,22.19,3.00,0.75,179.68,0.05
31.83,22.27,3.05,0.75,180.36,0.04
32.00,22.27,3.09,0.75,181.03,0.04
32.17,22.27,3.14,0.75,181.70,0.04
32.33,22.27,3.19,0.76,182.36,0.04
32.50,22.27,3.23,0.76,183.02,0.04
32.67,22.27,3.28,0.76,183.66,0.04
32.83,22.27,3.33,0.76,184.30,0.04
33.00,22.27,3.37,0.76,184.93,0.04
33.17,22.27,3.42,0.76,185.55,0.04
33.33,22.27,3.47,0.76,186.17,0.04
33.50,22.35,3.52,0.76,186.78,0.04
33.67,22.35,3.56,0.76,187.39,0.04
33.83,22.35,3.61,0.77,187.99,0.04
34.00,22.35,3.66,0.77,188.58,0.04
34.17,22.35,3.70,0.77,189.17,0.04
34.33,22.35,3.75,0.77,189.75,0.04
34.50,22.35,3.80,0.77,190.32,0.04
34.67,22.35,3.84,0.77,190.89,0.04
34.83,22.35,3.89,0.77,191.45,0.04
35.00,22.35,3.93,0.77,192.00,0.04
35.17,22.35,3.98,0.78,192.54,0.04
35.33,22.43,4.03,0.78,193.09,0.04
35.50,22.43,4.08,0.78,193.63,0.04
35.67,22.43,4.12,0.78,194.16,0.04
35.83,22.43,4.17,0.78,194.70,0.04
36.00,22.43,4.22,0.78,195.22,0.04
36.17,22.43,4.26,0.78,195.74,0.04
36.33,22.43,4.31,0.78,196.26,0.04
36.50,22.43,4.36,0.78,196.77,0.04
36.67,22.43,4.40,0.78,197.28,0.04
36.83,22.43,4.45,0.78,197.78,0.04
37.00,22.43,4.49,0.79,198.28,0.04
37.17,22.43,4.54,0.79,198.77,0.04
37.33,22.43,4.59,0.79,199.27,0.04
37.50,22.51,4.64,0.79,199.76,0.04
37.67,22.51,4.68,0.79,200.26,0.04
37.83,22.51,4.73,0.79,200.75,0.04
38.00,22.51,4.78,0.79,201.24,0.04
38.17,22.51,4.82,0.79,201.73,0.04
38.33,22.51,4.87,0.79,202.22,0.04
38.50,22.51,4.91,0.79,202.70,0.04
38.67,22.51,4.96,0.79,203.19,0.04
38.83,22.51,5.01,0.79,203.67,0.04
39.00,22.51,5.05,0.80,204.15,0.04
39.17,22.51,5.10,0.80,204.62,0.04
39.33,22.51,5.15,0.80,205.10,0.04
39.50,22.51,5.19,0.80,205.58,0.04
39.67,22.51,5.24,0.80,206.05,0.04
39.83,22.59,5.29,0.80,206.53,0.04
40.00,22.59,5.33,0.80,207.01,0.04
40.17,22.59,5.38,0.80,207.49,0.04
40.33,22.59,5.42,0.80,207.97,0.04
40.50,22.59,5.47,0.80,208.45,0.04
40.67,22.59,5.52,0.80,208.92,0.04
40.83,22.59,5.56,0.80,209.39,0.04
41.00,22.59,5.61,0.81,209.86,0.04
41.17,22.59,5.66,0.81,210.33,0.04
41.33,22.59,5.70,0.81,210.80,0.04
41.50,22.59,5.75,0.81,211.26,0.04
41.67,22.59,5.79,0.81,211.72,0.04
41.83,22.67,5.84,0.81,212.18,0.04
42.00,22.67,5.89,0.81,212.65,0.04
42.17,22.67,5.93,0.81,213.11,0.04
42.33,22.67,5.98,0.81,213.57,0.04
42.50,22.67,6.02,0.81,214.03,0.04
42.67,22.67,6.07,0.81,214.48,0.04
42.83,22.67,6.12,0.81,214.93,0.04
43.00,22.67,6.16,0.81,215.37,0.04
43.17,22.67,6.21,0.82,215.81,0.04
43.33,22.67,6.25,0.82,216.24,0.04
43.50,22.67,0.02,0.82,216.67,0.04
43.67,22.75,0.06,0.82,217.10,0.04
43.83,22.75,0.11,0.82,217.53,0.04
44.00,22.75,0.16,0.82,217.95,0.04
44.17,22.75,0.20,0.82,218.37,0.04
44.33,22.75,0.25,0.82,218.78,0.04
44.50,22.75,0.29,0.82,219.18,0.04
44.67,22.75,0.34,0.82,219.57,0.04
44.83,22.75,0.38,0.82,219.96,0.04
45.00,22.75,0.43,0.82,220.34,0.04
45.17,22.83,0.48,0.82,220.72,0.04
45.33,22.83,0.52,0.82,221.10,0.04
45.50,22.83,0.57,0.82,221.47,0.04
45.67,22.83,0.61,0.82,221.84,0.04
45.83,22.83,0.66,0.82,222.19,0.04
46.00,22.83,0.70,0.82,222.54,0.04
46.17,22.83,0.75,0.83,222.88,0.04
46.33,22.83,0.79,0.83,223.22,0.04
46.50,22.83,0.84,0.83,223.54,0.04
46.67,22.83,0.89,0.83,223.86,0.04
46.83,22.91,0.93,0.83,224.18,0.04
47.00,22.91,0.98,0.83,224.50,0.04
47.17,22.91,1.02,0.83,224.81,0.04
47.33,22.91,1.07,0.83,225.11,0.04
47.50,22.91,1.11,0.83,225.40,0.04
47.67,22.91,1.16,0.83,225.69,0.04
47.83,22.91,1.20,0.83,225.97,0.04
48.00,22.91,1.25,0.83,226.24,0.04
